Causes/ Columns,Keywords_Set 1,Keywords_Set 2,Yad's comments
Health infectious diseases,"HIV, AIDs, Tuberculosis, Clinic, Hepatitis, Dengue, Malaria, communicable diseases, leprosy | immunization, anti-retroviral therapy (ART), insecticide-treated bed net (ITN), long-lasting insecticidal net (LLIN), DOTS programme, cholera, typhoid fever, tetanus, vaccination, measles, seasonal malaria chemoprevention, Diphtheria, hepatitis B, pertussis (whooping cough), pneumonia, polio, pneumonia, rubella, mumps, meningitis, sexually transmitted infection (STD), DALY, ","HIV, AIDs, Tuberculosis, Hepatitis, Dengue, Malaria, communicable , leprosy, immunization, anti-retroviral therapy (ART), insecticide-treated bed net (ITN), long-lasting insecticidal net (LLIN), DOTS programme, typhoid fever, measles, seasonal malaria chemoprevention, Diphtheria, hepatitis B, pertussis (whooping cough), pneumonia, polio, pneumonia, rubella, mumps, meningitis, sexually transmitted infection (STD),",
Neglected tropical diseases (NTDs),"Deworming, parasitic worms, neglected tropical diseases (NTD), schistosomiasis, lymphatic filariasis, onchocerciasis, hookworm, soil-transmitted helminthiasis (STH), ascariasis, mass drug administration (MDA), leprosy, rabies, dengue fever, scabies, trachoma, chagas disease, buruli ulcer, chagas disease,  dracunculiasis, trichuriasis, human African trypanosomiasis, Leishmaniasis, Echinococcosis, Yaws, Fascioliasis, Cysticercosis, Ivermectin, Albendazole, DALY, ","Deworming, parasitic worms, neglected tropical diseases (NTD), schistosomiasis, lymphatic filariasis, onchocerciasis, hookworm, soil-transmitted helminthiasis (STH), ascariasis, mass drug administration (MDA), leprosy, rabies, dengue fever, scabies, trachoma, chagas disease, buruli ulcer, chagas disease,  dracunculiasis, trichuriasis, human African trypanosomiasis, Leishmaniasis, Echinococcosis, Yaws, Fascioliasis, Cysticercosis, Ivermectin, Albendazole, ",
Social Enterprise,"Social Entrepreneur, business, Entrepreneurship, bottom of pyramid, Business, Innovation","Social Entrepreneur, Entrepreneurship",
Environment,"Recycle, Water, plastic, nature, fishery, farming, pollution, clean, forest, sea, conservation, protect, tree, plantation, preserve, conserve natural resources, sea, sea life, earth | air, land, global warming, greenhouse gases,  sea level rising, marine biology, biodiversity, recycling, carbon emission, palm oil, plantation, deforestation, habitat, ","Recycle, plastic, pollution, natural resources, global warming, sea level rising, greenhouse gases, carbon emission, deforestation",
Disaster relief,"Flood, natural disaster, cyclones, earthquakes, relief, aid, famine, humanitarian, rescue, conflict, war, casualty, | mission, reconstruction, conflict, displacement, shocks, ","Flood, natural disaster, cyclones, earthquakes, famine, war",
Housing and shelter,"Building, house, roof, infrastructure, construction, land, engineer, architect, homeless, almshouse, settlement | shelter, temporary housing, roads, war, ","Building, infrastructure, construction, architect, homeless",
Clubs,"Rotary, clubs, society, Societies, association, ","clubs, society",
Special needs,"Down Syndrome, Autism, mainstream schools, enrichment programs, life-skills, disability, quality lives, developmental disorders, developmental difficulties, handicap, early intervention, rehabilitation, Asperger’s, PDD-NOS, Cerebral palsy, ADHD, intellectually disabled, ","Down Syndrome, Autism, mainstream schools, developmental disorders, developmental difficulties, Asperger’s, PDD-NOS, Cerebral palsy, ADHD, intellectually disabled, ",
Health non communicable,"kidney, bone marrow, hospis, cancer, mortality, Haemodialysis, Diabetes, Palliative Care, Stroke Rehabilitation,","kidney, bone marrow, hospis, cancer, mortality, Haemodialysis, Diabetes, Palliative Care, Stroke Rehabilitation,",
Family planning,"reproductive health, family planning education, condoms, contraceptive, abortion, adoption agencies, planned parenthood, sex, baby, male circumcision | unplanned pregnancy, Depo Provera, Sayana Press, sexually transmitted infection (STD),","reproductive health, family planning education, condoms, contraceptive, abortion, adoption agencies, planned parenthood, male circumcision, Depo Provera, Sayana Press, ",
