name,description,website,cause_area,address,city,contact_number,email,contact_person,,,,
Myo Oo Kat Kyaw Free Education,Nan,Nan,Education (ပညာေရး),Nan,Yangon (ရန္ကုန္),",09-6804230",Nan,"


",,,,
Free Funeral Services Society,Nan,Nan,"Education (ပညာေရး), Health (က်န္းမာေရး)",Nan,Yangon (ရန္ကုန္),"580133, 581363",Nan,Nan,,,,
အြန္လိုင္းမိသားစု ပရဟိတလူငယ္မ်ားအဖြဲ႕ (O.F.O),Nan,http://www.ofomyanmar.org,"Child Rights (  ကေလးသူငယ္အခြင့္အေရး), Child protection (ကေလးသူငယ္ကာကြယ္ ေစာင့္ေရွာက္ျခင္း), Human Rights (လူ ့အခြင့္အေရး)",Nan,Yangon (ရန္ကုန္),Nan,[email protected],"ဦးေဆာင္သူအမည္ : ဦးသူရႏိုင္
ရာထူး : ဥကၠဌ
ဆက္သြယ္ရန္ပုဂၢိဳလ္ : ဦးသူရႏိုင္-၀၉-၂၅၀ ၃၂၀ ၆၆၂ / ၀၉-၄၂၀ ၁၀၆ ၇၄၂

ရာထူး : ဥကၠဌ",,,,
MWCUC,Nan,Nan,"Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Child protection (ကေလးသူငယ္ကာကြယ္ ေစာင့္ေရွာက္ျခင္း), Coordination/Networking (ညႈိနွုိင္း/ခ်ိတ္ဆက္ျခင္း), Women empowerment (အမိ်ဳးသမီး စြမ္းရည္ျမွင့္တင္ျခင္း), Human Rights (လူ ့အခြင့္အေရး)",Nan,Mon (မြန္),Nan,[email protected],"ေဒၚခင္သန္းေထြး
",,,,
ရခိုင္ လူ႕အခြင့္အေရးႏွင့္ ဖြံ႕ျဖိဳးတိုးတက္ေရး အဖြဲ႕,Nan,Nan,"Health (က်န္းမာေရး), Education (ပညာေရး), Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Environment (သဘာဝပတ္ဝန္းက်င္), Human Rights (လူ ့အခြင့္အေရး)",Nan,Nan,09-41000497,Nan,Nan,,,,
တာကေပါ,Nan,Nan,"Education (ပညာေရး), Environment (သဘာဝပတ္ဝန္းက်င္), Language school (ဘာသာစကား သင္တန္းေက်ာင္း)",Nan,Nan,09-422207276/09-422192125,Nan,Nan,,,,
Education Gathering Group,Nan,Nan,Education (ပညာေရး),Nan,Nan,09 425284546,Nan,Nan,,,,
ျကင္နာလက္ကမ္း,Nan,Nan,"Disaster risk reduction (သဘာဝေဘးအႏၱရာယ္ ေလ်ာ့ပါးေရး), Environment (သဘာဝပတ္ဝန္းက်င္)",Nan,Mandalay (မႏၲေလး),Nan,[email protected],"ဦးေဆာင္သူအမည္ : ထက္ကိုႏုိင္
ရာထူး : နာယက
ဆက္သြယ္ရန္ပုဂၢိဳလ္ : ဟိန္းထက္

ရာထူး : အတြင္းေရးမွဴး",,,,
united social action network,Nan,Nan,"Coordination/Networking (ညႈိနွုိင္း/ခ်ိတ္ဆက္ျခင္း), Research /advocacy (သုေတသနနွင့္ စည္းရံုးလႈံ႕ေဆာ္ၿခင္း), Civic empowerment (နိုင္ငံသားမ်ား၏စြမ္းရည္ ျမွင့္တင္ျခင္း)",Nan,Township,Nan,[email protected],"ဦးတြာလ္ဇာမုန္
အတြင္းေရးမႈး
",,,,
Sasana Yetkhita Buddhist Missionary Monastic Primary School,Nan,Nan,Education (ပညာေရး),Nan,Yangon (ရန္ကုန္),Nan,Nan,Nan,,,,
သရက္ေခ်ာင္း ျမိဳ႕လယ္သမားမ်ား,Nan,Nan,"Health (က်န္းမာေရး), Education (ပညာေရး), Environment (သဘာဝပတ္ဝန္းက်င္), Human Rights (လူ ့အခြင့္အေရး)",Nan,Nan,09-250271651၊ 09-8742651,Nan,Nan,,,,
လူထု အေျချပဳ ဘက္စံုဖြံ႕ျဖိဳး တိုးတက္ေရး ေကာ္မတီ,Nan,Nan,"Environment (သဘာဝပတ္ဝန္းက်င္), Human Rights (လူ ့အခြင့္အေရး)",Nan,Nan,09-49280381,Nan,Nan,,,,
Phyu Sin Saydanar Action Group,Nan,Nan,"Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Child protection (ကေလးသူငယ္ကာကြယ္ ေစာင့္ေရွာက္ျခင္း), Disaster risk reduction (သဘာဝေဘးအႏၱရာယ္ ေလ်ာ့ပါးေရး), Research /advocacy (သုေတသနနွင့္ စည္းရံုးလႈံ႕ေဆာ္ၿခင္း), Food security (စားနပ္ရိကၡာဖူလံုေရး), Vocational training (အသက္ေမြးဝမ္းေက်ာင္း သင္တန္း), WASH (ေရသန္ ့ရရွိေရး/ေရနွင့္ပတ္သက္ေသာ က်န္းမာေရး), Women empowerment (အမိ်ဳးသမီး စြမ္းရည္ျမွင့္တင္ျခင္း), Youth empowerment (လူငယ္ထု စြမ္းရည္ျမွင့္တင္ျခင္း), Livelihood (အသက္ေမြးမႈ), Education (ပညာေရး), Social and economic (လူမႈေရးနွင့္စီးပြားေရး), Human Rights (လူ ့အခြင့္အေရး), Income generation (ဝင္ေငြတိုးလုပ္ငန္းမ်ား), Infrastructure (အေျခခံ အေဆာက္အအံု)",Nan,"Nation Wide (တစ္နိုင္ငံလံုးအတိုင္းအတာ), Yangon (ရန္ကုန္), Kayin (ကရင္), Ayeyarwady (ဧရာဝတီ)",Nan,[email protected],"ေနာ္ရိုးဒါယင္းမာသိန္း
",,,,
Metta San Parami,Nan,Nan,Education (ပညာေရး),Nan,Nan,"
05 365066/05 365001",Nan,Nan,,,,
Sunshine Youth Group,Nan,Nan,Nan,Nan,Yangon (ရန္ကုန္),09 513 1643,Nan,Nan,,,,
Eden Centre for Disabled Children,Nan,Nan,Education (ပညာေရး),Nan,Nan,"
01-640399, 09 73021731",Nan,Nan,,,,
ေတာင္သူ လယ္သမားမ်ားႏွင္ ့အျခားေျမယာ လုပ္သားမ်ား အသင္း,Nan,Nan,Human Rights (လူ ့အခြင့္အေရး),Nan,Nan,09-49851588,Nan,Nan,,,,
Agency for Education of the Poor Rural Youth,Nan,http://www.aeprymym.org,"Agriculture (လယ္ယာစိုက္ပ်ိဳးေရး), Health (က်န္းမာေရး), Education (ပညာေရး), Livelihood (အသက္ေမြးမႈ), Infrastructure (အေျခခံ အေဆာက္အအံု), Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Women empowerment (အမိ်ဳးသမီး စြမ္းရည္ျမွင့္တင္ျခင္း), Multi-Sectors, Food security (စားနပ္ရိကၡာဖူလံုေရး), Vocational training (အသက္ေမြးဝမ္းေက်ာင္း သင္တန္း)",Nan,Nation Wide (တစ္နိုင္ငံလံုးအတိုင္းအတာ),Nan,[email protected],"ဦးေဆာင္သူအမည္ : Kam Tung Thang @ Peter
ရာထူး : Managing Director
ဆက္သြယ္ရန္ပုဂၢိဳလ္ : Kam Tung Thang @ Peter
ရာထူး : Managing Director
",,,,
Mangrove Services Network,Nan,Nan,"Multi-Sectors, Environment (သဘာဝပတ္ဝန္းက်င္)",Nan,Yangon (ရန္ကုန္),"
09-732-13356,09-731-52702
09-430-24157,09-493-18832",Nan,Nan,,,,
"Humen Right, Watch,(Dawei)",Nan,Nan,Human Rights (လူ ့အခြင့္အေရး),Nan,Nan,09-422191774,Nan,Nan,,,,
Our Future Initiative,Nan,Nan,"Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Peace (ျငိမ္းခ်မ္းေရး), Coordination/Networking (ညႈိနွုိင္း/ခ်ိတ္ဆက္ျခင္း), Research /advocacy (သုေတသနနွင့္ စည္းရံုးလႈံ႕ေဆာ္ၿခင္း), Environment (သဘာဝပတ္ဝန္းက်င္), Food security (စားနပ္ရိကၡာဖူလံုေရး), Vocational training (အသက္ေမြးဝမ္းေက်ာင္း သင္တန္း), Youth empowerment (လူငယ္ထု စြမ္းရည္ျမွင့္တင္ျခင္း), Language school (ဘာသာစကား သင္တန္းေက်ာင္း), Livelihood (အသက္ေမြးမႈ), Civic empowerment (နိုင္ငံသားမ်ား၏စြမ္းရည္ ျမွင့္တင္ျခင္း), Social and economic (လူမႈေရးနွင့္စီးပြားေရး), Social work (charity) (ပရဟိတ/လူမႈေရးလုပ္ငန္း), Human Rights (လူ ့အခြင့္အေရး), Income generation (ဝင္ေငြတိုးလုပ္ငန္းမ်ား), Multi-Sectors",Nan,Tanintharyi (တနသၤာရီ),Nan,"ofi,[email protected]","U Tin Ko Ko Oo
 
",,,,
