contact_number,description,email,cause_area,name,website,address
+91-11-41007526NIL       ,"Driven by the philosophy: “If a child cannot reach to the school, the school must reach the child”: the organization’s Mission is to ""Provide comprehensive Education, nutrition, health care, skill training, mothers/women empowerment support for holistic development of less-privileged children to become responsible adults and leaders of tomorrow.""It envisions“Empowered children through exercise of Rights- education, health and dignified livelihood”.Such philosophy and visionary dream led to the voluntary action adopting a different approach -in the sense – owning parental responsibilities- providing holistic support- till children become self reliant. Touching lives of children, mothers and other community members in positive ways is the Ultimate Objective. AAROHAN’s two ways strategyProviding education to children followed by skill training to adolescents and facilitating gainful employment- improving quality of life of the family including education of younger siblings children;Empowering adolescent girls/young mothers through awareness building, functional literacy, skill training facilitating small sustainable business enterprise- improving quality of life of the family including continued education of children.Gender issues and counseling are at the core of all programmatic interventions.Responding to the emerging needs of the community, particularly children and mothers (women)- programs were developed with rights based approach; adding on new verticals in Aarohan’s program portfolio- every program thus having its own genesis. Some useful links:Website : www.aarohanngo.org Face book : www.facebook.com/aarohansociety Twitter : www.twitter.com/aarohan_ngo  YouTube : https://goo.gl/4ijjx6  You Tube: https://www.youtube.com/watch?v=QI1ZhQJvcDo  Meet Aarohan’s girls talking with Star of Millennium Mr. Amitabh BachhanSouvenir: https://goo.gl/AHTLrW - On completion of Aarohan's 10 eventful years!Other media coverageShort film: https://goo.gl/d752gU MIG video :https://goo.gl/A2sWyl CNC video on Aarohan : https://goo.gl/bCmwNeAarohan (meaning “Climbing up”) is an Indian registered non-governmental organization based in Capital city of New Delhi, India and three other states Andhra Pradesh, Haryana, Odisha and Bihar.The organization is different in - its inception, philosophy, approach and modus operandi.Different as it was born out of a social reasoning of an individual, a lady-hitherto having neither knowledge about gamut of setting up a welfare organization nor the road ahead but with a big heart and only a Post-graduate degree in her possession! The only fuel to the motor has been self belief, self sensitization and concern for social and human responsibilities.Aarohan today stands straight having matured and completed a decade since its accidental birth! Noticing a boy, stealing gadgets from her car parked on street moved the Lady, who thought deeper, crystallized the thought process in order to reach at the roots of the problem. It was in Malviya Nagar residential area in South Delhi- declared to be one of the richest consituency in India!Catching the boy in act of stealing, the Lady politely asked him “who he is, what he is doing and why?” The boy mentioned his name as “Rohan” and told he does not get to eat! The lady asked him to come to her home assuring she would offer him food. Then started the dialogue and the boy, given food, agreed to study and leave the habit of sipping intoxicating white fluid (eraser) and stealing! This was the moment when Aarohan got conceived and the newborn started the life journey!Aarohan was thus born out of passion for compassion- a love child born out of heart rather than womb!Aarohan thus is not only a Non-governmental organization (NGO) but much more than that. It is living example of one’s Individual Social Responsibility!Support from CAF America will help a great deal in strengthening Vocational Training Programs for girls/women as part of women’s empowerment initiatives of Aarohan.Aarohan proposes to initiate an extensive focused advocacy addressing the issue of violence against women including the evil practice of female feticide through a team of suitably empowered brigade of adolescent girls/young mothers.",kkverma@aarohanngo.org  ,Education,Aarohan,http://www.aarohanngo.org,"B-127 Malviya Nagar, New Delhi, 110017 INDIA"
0091-22-26443666/880091-22-26436848       ,"ADAPT’s mission is to create an inclusive, accepting, disability friendly India for both children and adults in the fields of education, employment and healthcare opportunities.The overall aim of the organisation is to support and bring about reforms in India’s social and economic policy conducive to rights and needs of  the disabled population. ADAPT (formerly The Spastics Society of India) is a Non-Government Organization (NGO) that was set up by Dr. Mithu Alur in 1972 a parent of a daughter who was born with cerebral palsy to address the lack of services and the lack of knowledge about multiple disabilities in general and cerebral palsy in particular. The Spastics Society of India began a new model combining education and treatment under one roof. It moved children away from a medical hospital setting to a special school setting to demonstrate that multiply disabled children could be educated and get treatment through a holistic approach. ADAPT has grown to provide inclusive educational, vocational and employment services to more than 3000 children, youth and 10,000 families annually. The services have expanded into the rural areas under the aegis of The Mithu Alur Foundation. Since then it has been serving the country for 40 years in the field of disability. Pedagogy, manpower training was interwoven into the first innovative model. Thus, national level services were pioneered and incubated over forty years with a unique micro, mezzo and macro level approach. All of this has been achieved through rigorous demonstration at the grass roots level across the country on how meaningful; sustainable services can be delivered to the poorest and weakest of our disabled people. Dr Mithu Alur has successfully lobbied for policy reforms and so today the education of CWD has become a constitutional right as mandated in the Right To Education (RTE). Inclusive Education has taken Centre Stage. As a result, children have graduated out of ADAPT into 62 regular partner schools to demonstrate inclusion. Colleges and Universities have also become inclusive and many students have become accountants, computer experts, journalists, librarians and have gone on to pursue Higher Education.  ADAPT is an NGO (non government organisation) which relies on donor support to sustain its services. The services being education and therapy to disabled children of the underprivileged strata of the society and facilitating their inclusion within the mainstream educational system. ADAPT is also imparting skills training to disabled/ underprivileged adults and trying to include them under the mainstream employment. All of these require a huge amount of financial support from the society at large. Grant from CAF America will help ADAPT to reach out to a larger section of the society with multiple disabilities and help them to become dignified and confident and contributing citizens of the country. The grant will also will enable ADAPT to improvise the current and adopt newer initiatives  to reach out to the disadvantaged group of the population in both urban and rural India. ",contact@adaptssi.org  ,Disability,Able Disabled All People Together,http://www.adaptssi.org,"K.C. Marg Bandra Reclamation (Bandra West), Mumbai, 400 050 INDIA"
0632415625606324118507       ,"Bantay Bata 163 is created to respond to the enormous problem of child abuse. It has evolved from a 24/7 hotline to a national helpline center that includes rescue, rehabilitation and shelter, medical and legal assistance, scholarship grants, feeding programs and community outreach and advocacy.   ",tina_palma@abs-cbn.combantaybata163@abs-cbn.com ,Child and Youth Development,ABS-CBN Foundation Bantay Bata 163,http://www.bantaybata163.org_or.com,"Mother Ignacia Street, corner Eugenio Lopez Drive, Quezon City, 1103 PHILIPPINES"
8802-989-13148802-988-8439       ,    ,Niharika@acidsurvivors.org  ,Community Improvement,Acid Survivors Foundation,http://www.acidsurvivors.org,"House no. 12, Road 22, Block K Banani, Dhaka, 1213 BANGLADESH"
65-6254021265-6256903       ,    ,lionel.lim@afa.org.sg  ,"Medicine, Diseases and Disorders",Action for AIDS Singapore,,"21 Norris Rd, Singapore, 208263 SINGAPORE"
"91 11 40540991, 91 11 4054099291 11 40540994       ",To facilitate a barrier free environment; to enable the empowerment of persons with autism and their families; and to act as a catalyst for change that will enable persons with autism to live as fully participating members of the community   ,actionforautism@gmail.com  ,"Social Justice, Disability",Action for Autism,http://www.autism-india.org,"Pocket 7 & 8 Jasola Vihar, New Delhi, 110025 INDIA"
+919341158445        ,To bring Hope and Opportunity to the underprivileged children of the society through imparting education & knowledge.   ,vkpaul7@gmail.com  ,"Child and Youth Development, Education",Acts of Hope,http://www.actsofhope.org.uk,"lovedale layout Kasavanahalli Carmelaram post, Bangalore, 560 035 INDIA"
+91 80 41124132        ,"Agastya's Mission is to spark curiousity and propagate a creative temper in disadvantaged rural children and teachers through:- Hands-on science education- Teacher training- Scalable, sustainable and environment-friendly methods- Art, media and ecology   ",agastyaadmin@gmail.com  ,"Child and Youth Development, Education",Agastya International Foundation,http://www.agastya.org,"101. Varsav Plaza 12 Jayamahal Main Road, Bangalore, 560 046 INDIA"
         ,    ,   ,Education,Aid India,http://www.aidindia.in,"45, Pycrofts Road, 1st Street Royapettah, Chennai, 600 014 INDIA"
91 44 246 142 06        ,"The University of Waikato is committed to providing our students with world-class, research-driven teaching, in a dynamic learning environment with excellent facilities. Founded in 1964, we are a relatively young university that has forged a strong international reputation. Three of our Faculties and 28 subject areas are rated #1 in the New Zealand tertiary education research rankings. The University of Waikato Foundation is an independent charitable trust that fundraises in New Zealand and overseas to support and resource the University of Waikato.   ",parthajee@gmail.comredarnathshiva@rediff.com ,"Education, Medicine, Diseases and Disorders",Ajay Shiv Charitable Foundations,http://https://ajayshivcharitablefoundations.wordpress.com,"No. 64 (old No. 54/2) Alamelumangapuram, Mylapore, Chennai, 600004 INDIA"
