UEN No,Charity Status,Date of Charity Registration,IPC Status,IPC Period,Website,Details URL,country,name,address,cause_area
201105101N,Registered,04/05/2011,Not applicable,Not applicable,http://www.avanttheatre.com,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MGEzMzllMmQtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,AVANT THEATRE & LANGUAGE,28 KELANTAN ROAD #05-129 KELANTAN COURT Singapore 200028,Arts and Heritage
201412408N,Registered,01/07/2015,Not applicable,Not applicable,www.characterleadership.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MzA2MTFiNzItMjBkNC1lMzExLWFkYjUtMDA1MDU2YTQxZjJk,Singapore,CHARACTER & LEADERSHIP ACADEMY LIMITED,1 YISHUN INDUSTRIAL STREET 1 #06-11 A'POSH BIZHUB Singapore 768160,Others
201325771N,Registered,29/09/2015,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=OTBmMTcyOTUtMTZlZi1lNDExLThmNGItMDAwYzI5ZjYzOWJh,Singapore,CHOW & CHOWS CHARITY LTD.,99 BUKIT TIMAH ROAD #02-01 ALFA CENTRE Singapore 229835,Social and Welfare
201526674R,Registered,06/01/2017,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=OGZhNWY1OGItODM0NS1lNjExLWE3MDItMDAwYzI5ZjYzOWJh,Singapore,CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (CCK 542) LTD.,99 BUKIT TIMAH ROAD #02-01 ALFA CENTRE Singapore 229835,Social and Welfare
201404167K,Registered,06/01/2017,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NDE0N2MzOTQtOWU0OC1lNjExLWE3MDItMDAwYzI5ZjYzOWJh,Singapore,CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (FENGSHAN) LTD.,99 BUKIT TIMAH ROAD #02-01 ALFA CENTRE Singapore 229835,Social and Welfare
201003141H,Registered,22/02/2012,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZjUzMjllMmQtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE LTD.,99 BUKIT TIMAH ROAD #02-01 ALFA CENTRE Singapore 229835,Social and Welfare
201133836K,Registered,19/11/2012,Not applicable,Not applicable,http://www.fauna-flora.org,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NTY1NTk2NDYtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,FAUNA & FLORA INTERNATIONAL (SINGAPORE),"4 ROBINSON ROAD #05-01 HOUSE OF EDEN, THE Singapore 048543",Others
200416313W,Registered,05/12/2012,Live,From 01/09/2017 To 28/02/2019,http://www.nulife.com.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NjA4NjRiNTMtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,NULIFE CARE & COUNSELLING SERVICES LIMITED,10 SERANGOON NORTH AVENUE 2 #05-02 THE SERANGOON CC Singapore 555877,Social and Welfare
201612738D,Registered,21/06/2017,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MDljODU4ZTYtMmE0Zi1lNjExLWE3MDItMDAwYzI5ZjYzOWJh,Singapore,TAN NGAK BUAY & KEE MENG LANG FOUNDATION LIMITED,23 TAI THONG CRESCENT  SENNETT ESTATE Singapore 347855,Others
200712761D,Registered,22/11/2007,Live,From 21/10/2016 To 20/10/2018,http://www.scape.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YjQwNTU3ZTktNzg2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,"*SCAPE CO., LTD.",2 ORCHARD LINK #04-01 SCAPE Singapore 237978,Others
201436550G,Registered,03/11/2016,Not applicable,Not applicable,www.21cgirls.com,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MDEyZTYzMjMtNTY5Yy1lNDExLWE1ZGUtMDA1MDU2YTQxZjJk,Singapore,21C GIRLS LTD.,101 UPPER CROSS STREET #05-16 PEOPLE'S PARK CENTRE Singapore 058357,Education
T03SS0046H,Registered,10/03/2003,Live,From 01/02/2017 To 31/01/2019,http://www.365cps.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YjM4YTg2MzMtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,365 CANCER PREVENTION SOCIETY,1 COMMONWEALTH LANE #03-10 ONE COMMONWEALTH Singapore 149544,Social and Welfare
T04CC1777A,Registered,12/05/2004,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NDcyZjBhNjQtNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,A DAY WITH MARY,'A' QUEEN STREET   Singapore 188533,Religious
198700575Z,Registered,13/07/1987,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZTk5ZjY1MjUtNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,A. O. ACTION LOVE LTD.,141 MIDDLE ROAD #05-05 GSM BUILDING Singapore 188976,Religious
S85CC2085E,Registered,11/10/1985,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YTg4ZDcyOTYtN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,ABDULLAH SALEH SHOOKER TRUST,21 COLLYER QUAY #16-01 HSBC TRUSTEE (S) LTD Singapore 049320,Others
201022774G,Registered,24/11/2010,Live,From 29/11/2017 To 28/08/2020,www.able-sg.org,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=OWNiMGI3N2MtNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,ABILITIES BEYOND LIMITATIONS AND EXPECTATIONS LIMITED,7A LORONG 8 TOA PAYOH #02-09 AGAPE VILLAGE Singapore 319264,Social and Welfare
T13SS0122H,Registered,08/03/1989,Not applicable,Not applicable,www.agpc.net.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZTk3MzY2MTktN2I2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Abundant Grace Presbyterian Church,240 JALAN KAYU   Singapore 799464,Religious
S89SS0054E,Registered,28/03/1996,Not applicable,Not applicable,http://albcsg.squarespace.com,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NzZhNTU2M2QtN2I2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Abundant Life Baptist Church,"10 Bukit Batok Crescent #05-06 #05-07, The Spire Singapore 658079",Religious
S94SS0051F,Registered,13/10/2009,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MTI3MDhiYjQtNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,Abundant Life Bible-Presbyterian Church,10 Marsiling Lane   Singapore 739147,Religious
197700528D,Registered,03/07/1985,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZDZhZjNjYzgtNzg2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,ABUNDANT LIFE FAMILY CHURCH LTD,48 TOH GUAN ROAD EAST #06-130 ENTERPRISE HUB Singapore 608586,Religious
T11SS0118B,Registered,15/11/2012,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=OTRkZjA3NGEtN2I2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,"ACADEMY OF ENGINEERING, SINGAPORE",70 BUKIT TINGGI ROAD  C/O INSTITUTION OF ENGINEERS Singapore 289758,Others
197702012E,Registered,13/04/1984,Live,From 17/05/2016 To 16/05/2018,http://www.ams.edu.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YTEwNTU3ZTktNzg2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,ACADEMY OF MEDICINE SINGAPORE,81 KIM KEAT ROAD #11-00 NKF CENTRE Singapore 328836,Health
