description,location,country,name,cause_area
"The Aangan Trust (Aangan) is a child protection organization promoting safe communities and  enabling children, adults and state governments in India to work together to prevent and respond to the  harm that children face. Aangan is centered around children who are normally hard to reach, such as  children in childcare institutions, working adolescents who are inadequately protected under labor laws,  out of school children isolated in their homes or at work in the informal sector, and children engaging in  illegal and risky activities. Aangan works on all of these issues through peer networks and advocacy.  Aangan focuses on so called ‘hotspots’, high-risk urban communities or rural villages where children are  vulnerable to trafficking, child marriage, hazardous work and abuse.; Aangan works to strengthen India’s child protection system so that even the most vulnerable child can have a safe childhood.; Shakti Girls Safety Networks: Girls living in slums and poor areas often face the risk of  being trafficked, exploited, abused or married-off  young. They are often confined to their home and  therefore cut off from school, peers and social  interaction. Shakti groups ensure that young girls have  the opportunity to be a part of a larger community.  Adolescent girls are empowered to recognize risks and  to develop strategies in order to resist pressures of child  marriage, dangerous work, and being pulled out of  school; to access services; to negotiate for themselves;  to articulate aspirations and to take steps towards  achieving their life goals. Shakti groups are facilitated  by Shakti activators, acting as coordinators and  residing in the community where the groups are  formed. Activators are trained to work with young girls  and to link girls facing imminent harm with Aangan  staff.  ; Chauraha Boys Safety Networks: Adolescent boys are often perceived as cheap  workers or troublemaker and their vulnerabilities go  largely unaddressed. Through Chauraha, adolescent  boys are connected to mentors and positive peer  groups. They are supported to challenge social  normative pressures around manhood; to recognize  the risks they face in their lives and exercise agency; to  articulate aspirations; to identify and strengthen  relationships with supportive adults; and to negotiate  for themselves. Boys learn to exercise citizenship and  develop a sense of self respect and responsibility by  working with local education officers and community  elders to enroll children in school, by advocating with  the ward officer to improve health and sanitation  facilities, and by mobilizing community support to  ensure the safety of children.  ; Parents & Children Against Trafficking/Harm (PACT): For a sustainable positive change, adults need to understand and commit to mitigating the long-term impact that  unsafe environments create for children. Through the PA sCT network, adult community volunteers are trained and  empowered to be aware of and alert to child protection issues such as early marriage, trafficking, violence and  abuse; to respond to the harm that children face; and to alert government systems and services to ensure  children’s safety and protection.         ",Mumbai,India,Aangan,"Economic empowerment, health, rights & protection"
"Apnalaya empowers some of the most disadvantaged populations living in the slums of Mumbai to gain awareness of their basic rights and access opportunities leading to a better life.; Apnalaya works with people living in some of the poorest slum communities in Mumbai to help them achieve a better quality of life.; Maternal and Children Health: Apnalaya's health workers conduct home visits  every month to identify pregnant women and  mothers who recently gave birth to help them  register and acquire services for themselves and  their children. The organization also forms and trains  groups of mothers to combat malnutrition and  minimize health risks that lead to deaths in children  and young infants.; Malnutrition: This program is designed to tackle the different  aspects of malnutrition. In 2016, Apnalaya  conducted malnutrition checkups for more than  4,000 children and treated 300+ children with  severe acute malnutrition in addition to providing  supplementary nutrition for 675 children. Over the  last five years, the ongoing effort has helped  reduce the incidence of underweight children from  60% to 42%.; Disability Program: Apnalaya's disability program provides healthcare,  education and economic opportunities to people  with disabilities. In the last six years Apnalaya has  worked with over 580 people with disability.; Ration Action Groups: Apnalaya organizes community members, primarily  women, and provides them with training to assist  other community members in accessing the Indian  government’s food rationing programs. In 2016, the  ration action group obtained many new ration  cards and renewed 38,992 old cards.; Scholarships: The scholarship program provides educational  funding for children to pursue education from  grade 8 onwards including vocational training after  grade 12. In 2016, 311 students were assisted  financially. Apnalaya strategically and gradually  withdraws direct support overtime in order to  encourage children to apply for Government  scholarships geared especially towards education  of rag pickers’ children.; Family Counseling Center: The Family Counseling Center provides support  and resources for women to access family  counselors for issues including domestic violence,  dowry, and desertion. In 2016, the Family  Counseling Center worked with 140 new families.",Mumbai,India,Apnalaya,"Educate, Health, Rights Protection, Economic Empowerment"
"The Ali Forney Center (AFC) mission is to protect LGBTQ youth from the harm of homelessness, and to support them in becoming safe and independent as they move from adolescence to adulthood. LGBTQ youth comprises up to 40% of the homeless youth population in New York City and experiences greater risks, abuses and violence than their heterosexual counterparts in the homeless youth population. The AFC houses and protects homeless LGBTQ youth living on the streets of New York by providing a continuum of services including emergency and transitional housing, mental health services, life skills trainings, educational and career programs, and more.; The nation's most comprehensive housing program for homeless LGBTQ youth.; Prevention, outreach & treatment for HIV/AIDS : The Ali Forney Center provides LGBTQ youth with a wide range of healthcare services including testing and treatment for HIV/AIDS,        Hepatitis C and Sexually Transmitted Infections, Hormone Replacement Therapy and contraceptives. At least 20% of AFC's clients are        tested HIV positive and receive treatment.; Ali Forney Drop-In-Center : The Ali Forney Drop-In-Center in Harlem provides LGBTQ youth with food,        medical care, mental health services, and other support services. Over 1,300 homeless youth access the drop-in center yearly.; : ; Outreach Program: This program provides supportive services and educational programs to homeless,        runaway, street-based and at-risk LGBTQ youth. The program, delivered by a peer outreach educator, works with        local schools, community centers, & religious organizations across five boroughs in New York City to identify        at-risk LGBTQ youth.; AFC Emergency Housing Program : Hosted in homelike apartments with nightly home-cooked meals, located in Queens and Brooklyn,        the program lasts 1-6 months and it includes consistent in kind and emotional support. AFC has an average waiting list        of 200 young people looking for shelter. ; Transitional Housing Program: AFC offers beds in shared apartments located in Brooklyn and Manhattan.        The program lasts for up to two-years while participants maintain employment, continue their education and        prepare for living on their own. Currently, 77% of our transitional housing residents are in school and 99% are employed.; Job Readiness Program: The Learning, Education, Advancement and Placement (LEAP) program is a 6        months multi-dimensional vocational and educational preparation course for homeless LGBTQ youth between the ages        of 18-24. LEAP, housed in the Ali Forney Drop-In Center, is helping most at-risk youth passing the National Work        Readiness Credential exam, acquiring soft skills and on the job training for them to become independent adults.         Le programme Apprentissage, Éducation, Avancement et Placement (LEAP en anglais) est un cours préparatoire professionnel et éducatif de six mois destiné aux jeunes LGBTQ sans-abris âgés de 18 à 24 ans. LEAP, situé dans le Centre d’accueil Ali Forney, aide les jeunes les plus vulnérables à passer l’examen du National Work Readiness Credential, à acquérir des compétences de bases et à suivre des formations pratiques afin qu’ils puissent devenir des adultes indépendants. ",New York City,USA,Ali Forney Center,Rights & Protection
"Bottom Line helps low-income and first-generation students get into college, graduate from  college and go far in life. By increasing the number of career-ready college graduates in  urban communities Bottom Line seeks to break the cycle of poverty. Through its work with  students, Bottom Line has identified and found ways to address the root causes of disparities.  Bottom Line provides two integrated programs that have been proven to efficiently and  effectively ensure high school students from low-income families can access college and then  have the ongoing support needed to succeed in college, earn a degree, and prepare for a  successful career.; Bottom Line's mission is to help low income, first generation students get into college, graduate from college and  go far in life.; College Access: Bottom Line provides high school seniors with  tailored guidance through the college  application process. Beginning in the junior or  senior year of high school, students start  meeting with a Bottom Line counselor. Through  a series of one-on-one sessions, which are one  hour long and occur every two to three weeks,  Bottom Line's full-time college counselors help  each high school senior navigate the college  admission process.  The College Access program empowers  students with the support and the experienced  guidance to make smart decisions about  attending college.; College Success: College students receive one-on-one advice  and mentoring on-campus for up to 6 years.  Initially, the program focuses on supporting  students through the transition to college. This is  followed by mentoring based on Bottom Line's  DEAL Program Model (Degree, Employability,  Aid, Life). Through this crosscutting framework  Bottom Line’s staff ensures students benefit from  tailored support and tools across all their  financial, academic, professional and psychosocial  needs to succeed.  The College Success Program’s tailored  guidance ensures that students are equipped  with the skills & knowledge to overcome  obstacles, persist, and eventually graduate with  the skills and a career plan in place.",Boston & New York,USA,Bottom Line,Education
"The Brilliant Club (TBC) is an award winning charity that exists to widen access to highly-selective universities for  pupils from under-represented groups. TBC is doing this by recruiting, training and placing doctoral and  postdoctoral researchers in non-selective state schools across the United Kingdom. As part of The Scholars  Programme, PhD tutors deliver a program of university-style tutorials to small groups of pupils, from Year 6 through to  Year 12, which develops the knowledge, skills and ambition that help students to secure places at highly-selective  universities. The Scholars Programme runs in all regions of England, Scotland and Wales, and the programme is available in all  non-selective primary schools, secondary schools and sixth-form colleges.; Expanding access to highly selective universities for students from underrepresented groups.; Scholars Programme: The Brilliant Club’s Scholars Programme is designed to emulate teaching and learning approaches of highly  selective universities. TBC recruits, trains and places PhD students and postdoctoral researchers in schools to  deliver programmes of university-style tutorials that develop knowledge, skills and ambition in pupils.  The length of tutorials and the size of groups vary depending on the ‘Key Stage’ of students (school year),  but does not exceed a maximum of six pupils. Programmes begin with a Launch Trip at one of TBC’s partner  universities, where pupils meet their PhD tutor and take part in a series of learning activities, including their first  tutorial. For the following four weeks PhD tutors spend half a day a week in school delivering two tutorials  each time. Pupils are required to undertake weekly reading and writing assignments that lead to the  completion of an extended assignment which the PhD tutors then review thoroughly and mark. The  Programme finishes with another university trip, where pupils are given a tour of the campus, meet with  outreach staff, receive feedback on their assignments and then attend a graduation ceremony. TBC is  flexible to the needs of schools, but programmes typically take place from October to January, from  February to June and from June to September.",,United Kingdom,The Brilliant Club,Education
"Educate! is a non-profit organization aiming at transforming education in sub-Saharan Africa for it to  be more experience-based and to teach youth the skills needed to address poverty for themselves  and their communities. In the last eight years, Educate! focused on establishing and scaling its model  in Uganda, Rwanda and now Kenya; the organization now aims to expand to other 7 countries by  2024 and to integrate its model within the regular secondary schools curriculum. To date, Educate! is  directly impacting about 25,000 youth through its skills-based education and teacher training  programs in Uganda and Rwanda and the organization targets to reach over 360,000 youth through  direct programs and through lower secondary education reforms in Uganda, Rwanda and Kenya.; Educate! supports educational systems in Africa in order to empower and train the next generation of leaders and entrepreneurs.; Teacher Training: Educate! selects innovative, engaged teachers to lead the implementation of the program at each school. Teachers join Educate!’s Experience Associations to build a community of practice and learning around skills-based education and they introduce global best practices in their own classrooms, lead school-wide components of the program, and learn how to guide students through the practical experience of starting an enterprise and build support structures in their schools.; Leadership, Entrepreneurship & Workforce Readiness Training: The leadership and entrepreneurship program is run by trained youth mentors for youth. An Educate!- trained mentor provides entrepreneurship and leadership training to approximately 40 Scholars over one and a half year. Scholars receive mentorship through the challenges they face in developing business ideas and community initiatives, and obstacles in their personal lives. Scholars also gain experience by starting enterprises with a team by participating in Student Business Clubs.; Education Reform & Advocacy: In partnership with the International Labor Organization and the Ugandan National Curriculum Development Center, Educate has been working to incorporate its student business clubs into the national curriculum of Uganda. More broadly, the organization’s education reform efforts aim to integrate vocational, entrepreneurship, and leadership training into national curriculums in Uganda and eventually across Africa in order to reach one million students annually across ten countries in Sub-Saharan Africa by 2024.",,Uganda,Educate!,Education
"First Graduate’s college access and success programs help students finish high  school and become the first in their families to graduate from college ready to pursue meaningful  careers. Students receive targeted coaching over a 10-year period from sixth grade through college  graduation. The support provided to each student includes preparing middle school students for high  school, facilitating high school access to college and coaching college students up to graduation.  First Graduate provides a total of over 129,000 hours of personalized coaching annually to ensure that  participants can graduate.; A San Francisco-based college success program that helps students finish high school and become the first in their families to graduate from college ready to pursue meaningful careers.; College Access: First Graduate coaches high school students to ensure  that they complete high school prepared to attend  college. Students are provided with standardized test  preparation, college application preparation, financial  aid workshops, and access to summer enrichment  opportunities and internships. Every student benefits  from one-on-one coaching as they research college  options and navigate the college application, financial  aid & scholarship process. The program also includes  academic tutoring and enrichment to help students  attain a GPA of 3.3 or higher, as well as supporting them  to develop tangible career readiness skills in order to  obtain and succeed in internships.; College Success: First Graduate engages college students through  academic advice and career coaching. It currently  supports approximately 160 students attending  colleges and universities around the country.  First Graduate’s team is easy to access for students  to help them work through personal and financial  struggles, and to develop and implement their  personalized Career Action Plan. Additionally, the  team visits students on campus to connect with  them and get a sense of how they are transitioning  to college life.; Emerging Scholars: The Emerging Scholars program focuses on ramping up middle school students mathematics and language skills  to a competitive level, as well as supporting students in applying to academically rigorous high schools. The  program starts with a 5-week summer session and continues throughout the year within the after school tutoring  program that supports students. Twice a week students receive tutoring hours to help them complete school  assignments and improve study skills. In addition, the program helps students select and access the right high  school and expose them to the breadth of careers available to someone with a college degree.","San Francisco, CA",USA,First Graduate,Education
"Friends-International (Friends) offers holistic programs support to vulnerable children across the  many challenges that they face, including abuse, sickness, drug abuse, social marginalization,  exclusion from education and training, child labor, poverty and separation from family. Programs  consist of a continuum of care in which beneficiaries access services adapted to individual needs and  build gradually their capacity to the end result of reintegration into a stable family, stable education  and/or employment or entrepreneurship.; Saving lives and building                  futures of the most marginalized children & youth, their families and communities in South East Asia and across the world.; Friends Programs: Friends works with children, families, dedicated teams  and supporters to build quality services to ensure that  marginalized children & youth become functional and  productive citizens. The program uses a holistic cycle of  projects to achieve the social integration of children,  youth, their caretakers and communities. These projects  are implemented both directly and in collaboration  with local partners, and include: outreach for health,  non-formal education, life-skills, education &  prevention, recreational and cultural activities and  referral services; public school reintegration; vocational  training/job placement; transitional home; drug project  for detox/rehab; income generation; and family  reintegration projects.; ChildSafe Alliance: Friends-International leads the ChildSafe Alliance, a  global network of NGOs and Government partners  focusing on providing positive outcomes for  marginalized children and youth. The Alliance allows  Friends to coordinate with partners on initiatives,  complement respective programs, avoid duplications  and reach more beneficiaries. It is also a forum to share  and replicate successful projects, approaches and  models to improve overall impact and child-care  standards in the sector. The ChildSafe Movement works to spreads  awareness on the risks faced by marginalized  children through local and international campaigns  and promotes the best practices embodied in the  ChildSafe Tips. It also provides direct assistance to  children in emergencies through its network of  ChildSafe agents, key members of local  communities identified and trained to recognize  and effectively assist children in distress. These  activities are complemented by the ChildSafe  Hotline, a call service run by trained social workers  who respond to reports of children in distress and  take action to protect them 24 hours a day, seven  days a week. Friends provides vocational training for marginalized  youth and their caretakers through training  businesses. Friends social businesses aims at the  highest social profit for the sustainable development  of all individuals, families, communities and society,  while ensuring the sustainability of the organization  and reducing donor dependency. In Cambodia,  Friends is running income-generating vocational  training restaurants, beauty shop, mechanic shop, as  well as fair trade gift shops.",,Thailand & Cambodia,Friends-International,"Economic Empowerment, Education"
"Gastromotiva is a Brazilian social enterprise that utilizes vocational culinary training to foster inclusive growth  and to create economic opportunities for youth in Brazil. Gastromotiva trains socially vulnerable and  economically disadvantaged individuals interested in entering the food services industry. Gastromotiva’s  programs address an important skills gap for restaurants in Brazil who pay Gastromotiva to be able to hire  program graduates, providing revenues to support the organizations’ programs. Since 2007, the program has  trained around 3,000 youth through partnerships with Universities and restaurants in Sao Paulo, Rio de Janeiro  and Salvador do Bahia, with around 80% of graduates gaining employment within 12 months. In 2016,  Gastromotiva expanded to Mexico.; Gastromotiva seeks to address social inequity and transform the lives of Brazil’s youth by preparing them for a career in the culinary industry.; Vocational Kitchen Training: The free training offered is approximately 3 months  long, but shorter courses are offered. Students learn  basic cooking, confectionery, baking techniques and  “eco-gastronomy”. Courses also include citizenship  classes focusing on the personal development of the  students, food hygiene and safety classes, as well as  professional posture skills. To help trainees secure  employment after the training, Gastromotiva  maintains a network of over 100 restaurant partners  who pay up to 225 reais a month to access graduates  of the program as potential employees and to  strengthen their social responsibility.; Community Action Programs (CAPs): Through the CAP, Gastromotiva’s students become  multipliers, and apply the knowledge they acquired  during their training to contribute to the transformation  and education of their communities on issues such as  nutrition, food waste and wellbeing, particularly  through the dissemination and promotion of good  practices. Since its creation, the students’ projects  have reached over 100,000 families (children between  0 and 10 years old and their caretakers) across  communities in São Paulo, Rio de Janeiro, Salvador do  Bahia and Curitiba.; Food Entrepreneur Classes: The program combines technical and entrepreneurial  training, with a main focus on confectionery and  bread making, to empower low-income entrepreneurs  and help them to start their sustainable micro  enterprises in their own communities. This in turn  increases income and employment for the  entrepreneurs and their communities. Since its  inception in 2015, the program has helped more than  200 food entrepreneurs launch their business.; Refettorio Gastromotiva: Launched in 2016, during the Rio Olympic games,  Refettorio Gastromotiva is a food waste restaurantschool  where invited guest chefs and young talents  from Gastromotiva use their creativity and knowledge  to transform food surplus into delicious healthy meals  for people in need. Through the concept ‘pay a meal  and leave a meal’, corporate events and workshops,  as well as a line food waste products, the Refettorio  Gastromotiva aims to sustain itself and become the  social business arm of Gastromotiva, while serving as  the first official Social Gastronomy Hub in Brazil.",,Brazil,Gastromotiva,Economic Empowerment
"Haven House Children’s Hospice (Haven House) cares for children and young people from  birth to age 19 who have life-limiting and life-threatening conditions and who are unlikely to reach  adulthood. In the UK, 49,000 children under 18 live with a life-limiting or life-threatening condition but  still no adequate public care services are available for those children and their families. Haven  House aims to ensure that all children in North and North-East London, West Essex, and East  Hertfordshire who are life-limited or who have a range of disabilities and complex health issues,  together with their families, are offered a range of care and health services which respond to their  individual needs. In partnership with health and social care providers, Haven House has supported  over 650 families, providing the highest quality palliative and holistic care services to children as well  as support groups and therapy for the emotional needs of parents and siblings.; Supporting families and cares for children and young people with life-limiting and life-threatening conditions life-threatening conditions.; Children Program: The Children Program provides a combination of clinical and non-clinical services. Over last year, 353 children and young people benefited from Haven House services. The services are designed to provide targeted social and health support to children including respite care, symptom control care to prevent hospital admissions or reduce the length of a hospital stay, step-down transitional care to facilitate transition from hospital to home as well as palliative care for neonates, children and young people who are reaching the end of their lives. In addition, Haven House provides music therapy, physiotherapy and therapeutic yoga to children and young people as well as specialized toys and equipment. ; Parent Program: Haven House empowers parents to play an active role in their children’s care and treatment and it supports them at each stage of their child’s journey through different programs such as respite care, education programs, peer support groups, complementary therapies and post-bereavement services. ; Siblings program : The Buddies support group is open to 5-18 year olds who have siblings that are supported by Haven House. The group meets regularly throughout the year to enjoy a variety of activities and outings. As well as having fun, the support group provides an opportunity for siblings to discuss common fears, joys, and concerns and for some to share their feelings around grief. Last year, Haven House provide 102 one-on-one sibling support sessions",,United Kingdom,Haven House,Health
