name,cause_area,country,website
Caring and Living as Neighbors,Arts & Culture,Indonesia,http://www.clanchildhealth.org/
Lontar Foundation Fund,Arts & Culture,Indonesia,http://www.lontar.org/
Sampoerna Foundation,Arts & Culture,Indonesia,http://www.sampoernafoundation.org/
Asian Youth Orchestra,Arts & Culture,Indonesia,http://www.asianyouthorchestra.com/
Yayasan Losari,Arts & Culture,Indonesia,http://www.yayasanlosari.or.id/
Yayasan Pecinta Budaya Bebali Fund,Civil Society,Indonesia,
Caring and Living as Neighbors,Civil Society,Indonesia,http://www.clanchildhealth.org/
Lontar Foundation Fund,Civil Society,Indonesia,http://www.lontar.org/
Sampoerna Foundation,Civil Society,Indonesia,http://www.sampoernafoundation.org/
Asian Youth Orchestra,Civil Society,Indonesia,http://www.asianyouthorchestra.com/
Yayasan Kawula Peduli,Education,Indonesia,
Sahabat Anak,Education,Indonesia,
Prestasi Junior Indonesia,Education,Indonesia,http://prestasijunior.org/
Karya Salemba Empat Foundation,Education,Indonesia,
Putra Bangsa,Education,Indonesia,http://www.putrabangsa.sch.id/
Atma Jaya University,Education,Indonesia,http://www.atmajaya.ac.id/
Ancora,Education,Indonesia,
Yayasan Manusia Untuk Masyarakat (MUM),Education,Indonesia,
Yayasan Pecinta Budaya Bebali Fund,Education,Indonesia,
Caring and Living as Neighbors,Education,Indonesia,http://www.clanchildhealth.org/
Lontar Foundation Fund,Education,Indonesia,http://www.lontar.org/
Sampoerna Foundation,Education,Indonesia,http://www.sampoernafoundation.org/
Asian Youth Orchestra,Education,Indonesia,http://www.asianyouthorchestra.com/
Yayasan Losari,Education,Indonesia,http://www.yayasanlosari.or.id/
East Bali Poverty Project,Education,Indonesia,http://eastbalipovertyproject.org//
Yayasan Pecinta Budaya Bebali Fund,Environment,Indonesia,
Sampoerna Foundation,Environment,Indonesia,http://www.sampoernafoundation.org/
Coral Triangle Center Foundation,Environment,Indonesia,
Asian Youth Orchestra,Environment,Indonesia,http://www.asianyouthorchestra.com/
Yayasan Kawula Peduli,Health,Indonesia,
Health Access Sumbawa,Health,Indonesia,http://www.healthaccesssumbawa.org/
Atma Jaya University,Health,Indonesia,http://www.atmajaya.ac.id/
Yayasan Pecinta Budaya Bebali Fund,Health,Indonesia,
Caring and Living as Neighbors,Health,Indonesia,http://www.clanchildhealth.org/
Lontar Foundation Fund,Health,Indonesia,http://www.lontar.org/
Sampoerna Foundation,Health,Indonesia,http://www.sampoernafoundation.org/
Asian Youth Orchestra,Health,Indonesia,http://www.asianyouthorchestra.com/
Lontar Foundation Fund,Infrastructure,Indonesia,http://www.lontar.org/
Sampoerna Foundation,Infrastructure,Indonesia,http://www.sampoernafoundation.org/
Asian Youth Orchestra,Infrastructure,Indonesia,http://www.asianyouthorchestra.com/
Karya Salemba Empat Foundation,Livelihood,Indonesia,
Yayasan Pecinta Budaya Bebali Fund,Livelihood,Indonesia,
Caring and Living as Neighbors,Livelihood,Indonesia,http://www.clanchildhealth.org/
Lontar Foundation Fund,Livelihood,Indonesia,http://www.lontar.org/
Sampoerna Foundation,Livelihood,Indonesia,http://www.sampoernafoundation.org/
Asian Youth Orchestra,Livelihood,Indonesia,http://www.asianyouthorchestra.com/
Sahabat Anak,Social Services,Indonesia,
Karya Salemba Empat Foundation,Social Services,Indonesia,
Yayasan Manusia Untuk Masyarakat (MUM),Social Services,Indonesia,
Yayasan Pecinta Budaya Bebali Fund,Social Services,Indonesia,
