"cause_area","name","description","address","website","contact_number","email","city"
"animals","Dog Chance","Dog Chance Provides medical care, sterilization, vaccination and community education programs (Bangkok). Donations Tax Deductible in Thailand: NoVolunteers Wanted: Review:","http://www.dogchance.comContact:Telephone: 66 2258 7097Email: pymberly@hotmail.comProvince: Bangkok No Information","http://www.dogchance.comContact:Telephone : 66 2258  7097Email: pymberly@hotmail .comProvince: BangkokAddress:  No Information","66 2258 7097","pymberly@hotmail.comProvince"," BangkokAddress"
"animals","Dog Rescue Center Samui
    Provides medical care, sterilization, vaccination and shelter for stray dogs (Samui Island).","Dog Rescue Center Samui
    Provides medical care, sterilization, vaccination and shelter for stray dogs (Samui Island). Donations Tax Deductible in Thailand: NoVolunteers Wanted: Review:","http://www.samuidog.orghttp://www.facebook.com/groups/177595182254247/Contact: Brigitte GommTelephone: 077 413 490, 081 893 9443Email: info@samuidog.orgProvince: Surat Thani (Samui Island) 112 / 35 Moo 6 Bophut, Samui Suratthani 84320, Thailand","http://www.samuidog.orghttp://www .facebook.com/groups/177595182254247/Contact : Brigitte GommTelephone:  077 413  490, 081  893 9443Email:  info@samuidog.orgProvince:  Surat Thani (Samui Island)Address : 112 /  35 Moo  6 Bophut,  Samui Suratthani  84320, Thailand","077 413 490, 081","info@samuidog.orgProvince"," Surat Thani (S"
"animals","Friends of The Asian Elephant","Friends of The Asian Elephant A registered non-government organisation in Thailand that aims to protect and conserve the welfare of elephants - both domesticated and wild. Contact: Telephone: 081-914-6113,054-829-307 Province: Lampang Address: 295 Moo 6, Lampang-Chiangmai Road (K.M. 28-29),Viengtan, Hangchatr, Lampang 52190,  Thailand Donations Tax Deductible in Thailand: No Volunteers Wanted: Yes Review:","295 Moo 6, Lampang-Chiangmai Road","http://www.elephant-soraida.com http://www.facebook.com/pages/Friends -of-the-Asian-Elephant /78137577586?sk=info","081-914-6113,054","fae@elephant-soraida.com"," Lampang"
"animals","Highland Farm Gibbon Sanctuary","Highland Farm Gibbon Sanctuary Provides a home for animals in need. We rescue mistreated and/or injured gibbon apes and other creatures from abusive environments. Contact: Telephone: 09-958-0821 Province: Mae Sot Address: Highland Farm and Gibbon Sanctuary, Pharanee Deters, C/O William E Deters Foundation,
    P.O. Box 24, A.Mae Sot, Tak 63110, Thailand Volunteers Wanted: Yes Review:","Highland Farm and Gibbon Sanctuary, Pharanee Deters, C/O William E Deters Foundation,
    P.O. Box 24, A.Mae Sot, Tak 63110, Thailand","http://www.gibbonathighlandfarm.org/index.php","09-958-0821","info@highland-farm.org"," Mae Sot"
"animals","Hornbill Research Foundation","Hornbill Research Foundation Researches into the study of breeding biology and ecology of hornbills by the Faculty of Science, Mahidol University. Contact: Ph. D. Pilai Poonswad Telephone: 02-201-5532 Province: Bangkok Address: Hornbill Research Foundation C/O Department of Microbiology Faculty of Science 272 Rama VI Road, Ratchathewi, Bangkok 10400, Thailand Volunteers Wanted: Review:","Hornbill Research Foundation","http://www.sc.mahidol.ac .th/research/hornbill.htm","02-201-5532","scpps@mahidol.ac.th"," Bangkok"
"animals","Home for Handicapped Animals FoundationAnimal welfare foundation, caring for sick, injured, handicapped and abandoned animals (Nonthaburi)","Home for Handicapped Animals FoundationAnimal welfare foundation, caring for sick, injured, handicapped and abandoned animals (Nonthaburi) Contact: Telephone: 02-584-4896 or 02-961-5625 Province: Nonthaburi Address: 15/1 Moo1, Soi Pramahakarun 25, Tiwanon Rd., Ban Mai,
    Pakkred, Nontaburi 11120,  Thailand Volunteers: Review: Aug 2013","15/1 Moo1, Soi Pramahakarun 25, Tiwanon Rd., Ban Mai,
    Pakkred, Nontaburi 11120,  Thailand","http://www.home4animals.org http://www.facebook.com/home4animalsfoundation?ref =ts&fref=ts","02-584-4896 ","Home4animals@hotmail.com"," Nonthaburi"
"animals","The Huayang Dogs Rescue Center ThailandSelf-supporting kennel for stray dogs and other animals","The Huayang Dogs Rescue Center ThailandSelf-supporting kennel for stray dogs and other animals Contact: Warin Taphaothong Telephone: 08-60483349 Province: Prachaub Kiri Khan Address: 19/7 Moo 7 Huayang,Tabsake, Prachuap Khiri Khan,
    Thailand Volunteers: Review:","19/7 Moo 7 Huayang,Tabsake, Prachuap Khiri Khan,
    Thailand Volunteers:","http://www.huayangdogsrescuecenter-thailand.com /index.html","08-60483349","warin@huayangdogsrescuecenter-thailand.com"," Prachaub Kiri "
"animals","Lanna Dog Rescue","Lanna Dog Rescue Improving stray dog situation by providing medical care, sterilization and adoption (Chiang Mai) Contact: Dr. Wilaiwan Petsophonsakul Telephone: 085-0407535 or053-894774
    (evening) Province: Chiang Mai Address: No Information Volunteers: Review:","No Information","http://www.lannadog.net http://www.facebook.com/pages/Lanna -Dog-Welfare/112856982133427?ref =ts&fref=ts","085-0407535 ","lannadog2003@gmail.comorlannadogrescue wilaiwan183@yahoo.com"," Chiang Mai"
"animals","Love Animal Sanctuary","Love Animal Sanctuary Abused animals sanctuary situated in Mae Rim district 19 km’s north of Chiang Mai Contact: Marianne Willemse Telephone: 0.9855.5923 Province: Chiang Rai Address: No Information Volunteers: Review:","No Information","http://www.animal-sanctuary.chiangmai -chiangrai.com",".9855.5923","loveanimalhouse@yahoo.com"," Chiang Rai"
"animals","Love Wildlife Foundation","Love Wildlife Foundation Love Wildlife is a non-profit foundation registered in the country of Thailand, and in the State of Texas (U.S.A.) as a foreign non-profit which aims to educate the younger generations about the
    importance of wildlife and their connection to the world  all live in. Contact : 170/1 Chan Road. (Saphan 4), Sathorn District, Bangkok THAILAND 10210 Office: 084-977-2747 Fax: 02-676-3139 Marine Department: whales@lovewildlife.org","","http://www.lovewildlife.org/"," ","info@lovewildlife.org"," "
"animals","PhaNgan Animal Care","PhaNgan Animal Care Providing medical treatment, sterilization and vaccination for animals (PhaNgan Island) Contact: Amphai Thongpliu (Por) Telephone: 0898757513 Province: Surat Thani
    (PhaNgan Island) Address: PhaNgan Animal Care, 14/1 Moo 4, Woktum, Koh PhaNgan, Suratthani 84280,Thailand Volunteers: Review:","PhaNgan Animal Care, 14/1 Moo 4, Woktum, Koh PhaNgan, Suratthani 84280,Thailand","http://www.pacthailand.org http://www.facebook.com/PhanganAnimalCare?ref =ts&fref=ts","0898757513","info@pacthailand.org"," Surat Thani
  "
