name,description,website,cause_area,address,country,contact_number,email,contact_person
AUSTRALIAN CATHOLIC RELIEF/CARITAS AUSTRALIA (ACR/CA) (ACR/CA),"1. Provide funding support to CNGOs working in the field of health, HIV/AIDS and OVC (prevention, care, treatment and support, impact mitigation), livelihood and infrastructure2. Capacity building to CNGO partners3. Technical support to CNGO partners4. Monitoring and evaluation",http://www.caritas.org.au,Sustainable Changes with Dignity Program,"# 53, Street 350, Sangkat Boueng Keng Kong III, Khan Chamkarmorn, Phnom Penh",Cambodia,(855-23) 220 200,acrcaritas@acr-caritas.org,"Mr. Lay Sothy, Partnership Program Coordinator, Tel: 012 890 609, E-mail: sothy@acr-caritas.org"
ACTION FOR HEALTH (AFH),"1. Family Planning2. Safe Motherhood3. Safe Abortion4. Health Equity Fund5. HIV/AIDS, TB, and Malaria6. Community Based Health 7. Insurance (CBHI)8. Reproductive Health9. Voucher for pregnant women",,1. Health Equity Fund2. Reproductive Health3. Community Based Health 4. Insurance (CBHI),"#40F, Corner Stree 167 and 426, Sangkat Tuol Topong 2,Khan Chamkamon,Phnom Penh.",Cambodia,"(855-23) 223 859, (855-12) 279 926,(855-16) 888 170, (855-12) 960",AFH@ezecom.com.kh,"Dr. Long Leng, Executive Director, Tel: 016 888 170, E-mail: longlenghealthy@yahoo.com"
ACTION FOR HEALTH DEVELOPMENT  (AHEAD),"1. Group education on HIV/AIDS and TB key messages for prevention of the infections using the health staff and peer educators in prison.2. Counseling suspected TB and collects the sputum to lab for TB diagnosis.3. Counseling suspected HIV prisoners and draws blood and refers the blood samples to VCCT.4. Register for all PLHIV and TB clients in the prisons and develop and strengthen the follow up system for OI/ART and referral system when the PLHIV and TB prisoners release from the prison. 5. Health staff training on basic HIV/AIDS, TB clinical and management, option II and palliative care in Banteay Meanchey, Battambang, Pursat and CC4. 6. NGO and related sectorsâ quarterly meeting for problem solving that face during implementation the project.7. Peer educator training on HIV/AIDS basis course, Counseling and palliative care in Banteay Meanchey, Battambang, Pursat and CC4. 8. Provision of the needed supports of PLHIV and TB are staying in the hospital and at prison.9. Financial support for transportation fees for PLHIV and TB follow up at OI/ART and TB.10. IEC materials distributed to the prisoners with health education11. Provide monitoring and technical assistance to the health staff to improve the services.12. Support materials to improve prisonersâ hygiene and prison sanitation.13. Provide needed support to the health posts for providing health services to the inmates.14.", ,1. Continued Achievement of Universal Access of HIV/STI Prevention Treatment and Care Services in  Cambodia2. Better Health in Prison,"#451, Street 515,Wat Romdul  Village, Sangkat Chamkar Samrong, Battambang Town, Battambang Province",Cambodia,(855-53) 952 898,bunsieth@online.com.kh,Mr. Heng Bunsieth Executive Director Tel: 012 907 802 E-mail: bunsieth@ahead.org.kh
APHIVAT STREY ORGANIZATION (AS),.Education about nutrition    .Providing agricultural technical                            .Provide soft loans                   .Compile saving group  ,n/a,Community Development,"#518,Group 25,Wat Rumduol Village,Sangkat Chamkarsamrong ,Battambang Municipality,Battambang Province.",Cambodia,(855-53) 952 433/012 818 577,asbtb@camintel.com,"Ms. Thong Thavrin, Director, (855-12) 818 577, asbtb@comintel.com"
ARV USERS ASSOCIATION (AUA),"1. Prorovide therapeutic education, emotional and psycho-social support to PLHIV receiving treatment in the Khmer Soviet Friendship Hospital, Meanchey RH, Samdach Euv RH, Pochentong RH, Chamkar Doung- HC in Phnom Penh and the Kampong Cham RH, Chamkar Leu-RH, Srey Santhor-RH in Kg.Cham province and Kean Svay-RH â Kandal province in order to promote adherence and better quality of life; and to empower PLHIV to understand their rights to quality of care2. Facilitate the reception of patients and document management within the OI/ART consultation areas at  Khmer Soviet Friendship Hospital, Meanchey RH, Samdach Euv RH, Pochentong RH, Chamkar Doung- HC in Phnom Penh and the Kampong Cham RH, Chamkar Leu-RH, Srey Santhor-RH in Kg.Cham province and Kean Svay-RH Kandal province and also assist for patient file management in KSFH.3. Play a key role on Positive Prevention at the KC RH, CL, SS and KSFH RH OI/ART clinic4. To attend and distribute AUA Promotional and educational materials at Candlelight Day, Water Festival and World AIDS Day events5. Build the capacity of PLHIV volunteers and staff of the association to better manage programs that reflect the needs of the PLHIV receiving treatment at the hospital and organizational development including the obtaining of the Health equity Fund card.6. AUA coordinate and organize  Tow  meeting with PLHIV from different IO/ART facilities to in order to build their knowledge about HIV and ART, encourage them to provide feedback about the quality of treatment and care where they are receiving and to discuss common issues and enable patients to understand the purpose and activities of AUA, mutual sharing of information on health care and to stimulate their families to receive blood tests.Small group discussions regarding treatment and issues affecting patients, educational role plays, question and answer sessions, patient experiences/testimonies and discussed were lack of social support, barriers and challenges to access health services, the difficulty of finding a job, causes of discrimination.    âââââ                                                                   ",http://www.auacambodia.org,PLHIV Psychosocial support within OI/ARV structure,"Khmer-Soviet Frendship  Hospital, Street 271, Phnom penh.        ",Cambodia,"(855-23) 222 054, (855-17) 337 218","sienghorn@auacambodia.org, info@auacambodia.org, afo@auacambodia.org","Mrs. Han Sieng Horn, Executive Director, (855) 17 847 356, Sienghorn@auacambodia.org "
BUDDHISM FOR DEVELOPMENT (BFD),"1.Taking Care home by home for PLHIV/OVC2. Provide health care, social, and emotional support to PLHIV/OVC and family3. Provide education for PLHIV/OVC and general population on HIV/AIDS and health care.",http://www.bfdkhmer.com,1. Home Based Care(ICP)2. SAHACOM,"Wat Anlongvil, Anlongvil commune, Sangker district, Battambang province",Cambodia,(855-12) 817 915,bfdkhmer@bfdkhmer.org,"Mr. Prak chear, Health Program Officer, (855-12) 736 042, p-chear@bfdkhmer.org "
BATTAMBANG WOMENÃâ¬S AIDS PROJECT (BWAP),1. Home Based Care2. Prevention,n/a,1. ICP (Integrated Care and Prevention)2. SAHACOM ( Sustainable Action against HIV and AIDS in Communities ),"#109, Group 5, Wat romdoual Village, chamka samroung Commune, BTB Town &Province.; ",Cambodia,(855-53) 952 150/ (855-17) 98 98 11 ,ingsivheng@yahoo.com,"Ms. Sen Sopheap, Program Coordinator, (855-16) 954 552 / 077 95 22 75, sopheap_sen07@yahoo.com"
COORDINATION OF ACTION RESEARCH ON AIDS AND MOBILITY (CARAM CAMBODIA),"1. Participatory Action Research2. Regional Coordination3. Advocacy, Networking and Partnership4. Community Based Prevention, Care and Rights for Migrant Workers5. Repatriation Reintegration and Support Advocacy and Networking6. Outreach education7. Drop in centre8. Finger prick test for HIV and Syphillis9. Legal counselling and represent as court10. Provide training ",http://www.caramcambodia.org,1.Counter Human Traffickig in Labor Migration2. Sustainable Action Against HIV/AIDS Community (SAHACOM)3. Ending Voilence against Women Migrant Workers,"#193AE0, St. 63, Beoun Keng kang I, Phnom Penh",Cambodia,(855-23) 218 065,caram.cam@online.com.kh,"Mr. Ya Navuth, Executive Director, (855-12) 961 427, ya_navuth@yahoo.com"
CARE INTERNATIONAL IN CAMBODIA (CARE),"1. Health referral2. Clients and Provider rights3. Community Score card4. HIV/AIDS education in workplace (garment factory), Workplace referral system, Creation of HIV/AIDS committees in workplace",http://care-cambodia.org,1. Socially Marginalised Women2. Ethnic Minority Women.                   3. Emergencies & Disasters,"P.O.Box 537, House 06, Street 446, Sangkat Tuol Tom PoungI, Phnom Penh",Cambodia,(855-23) 215 267 / 8 / 9,care.cam@care-cambodia.org,Ms. Stav Zotalis Country Director Email: stav.zotalis@careint.org
CARITAS CAMBODIA (CARITAS),"1.  Education/counseling/home visits/referral to VCCT,OI/ARV clinic, TB, PMTCT /Food support, welfare/ OVC support/ SHG support with microcredit and livelihood program2. Temporary shelter for PLHIV from far away areas and Waiting home for HIV+ Pregnant women /Education-counseling/Nutrition/Handicraft and sewing skills training3. Setting up health system at prison with H.post/referral system/coordination with PHD-OD-HC/ Active case finding for TB, counseling and testing for HIV/ NCD management/ socio-economic support with food support, vocational training/ education and drug users counseling",http://www.caritascambodia.org,1. Community Based Prevention Care and Support Program2. Prison Health Program for 7 prisons with HIV and TB focus,"St. Lauk Taneuy, Wat Bo Village, Salakamroeuk commune, SRP District, Siem Reap Province",Cambodia,(855-63) 963 279 / 012 735 477,glisse.bernadette@caritascambodia.org ,"Ms. Bernadette Glisse, Health &HIV;/AIDS program Coordinator, (855-12) 735 477, glisse.bernadette@caritascambodia.org"
