,address,cause_area,contact_number,contact_person,description,email,name,website,,
0,"No.8 Jalan Cempedak, Off Jalan Kovil Hilir 51200 Kuala Lumpur",Children/Single parents/Sponsors/Support Groups,+603 4051 1800 ,Ms. Diana Ooi,"Who we are

Hiichiikok Foundation was founded by Tan Sri Clement Hii. He believes in the Chinese saying , “Return to society by one who have gained from it” (取之社会，用之社会 ). The Foundation establishes an avenue for HCK Capital Group to discharge its corporate social responsibility. Tan Sri has already donated a substantial amount to kick start Hiichiikok Foundation. The Foundation is supported both financially and in kind by HCK Capital Group and by Tan Sri Clement Hii personally.
To create a conducive living environment for children who are orphans, from single parent households and underprivileged backgrounds, and to enable them to live a life with a better tomorrow.
To create a nurturing and caring environment for children who are orphans, from single parent households and underprivileged backgrounds, and to empower them to become contributing members of society.
To address issues that concern the rights of children to access the support and care that can help them to be nurtured and for them to grow up to live their lives to the fullest potential in society.
To setup homes for children, who are either orphans, homeless or abused; and provide a caring environment for them to grow up to be contributing members of society.
To provide a free tuition programme to children of our homes and those who are from underprivileged families.",diana@hiichiikokfoundation.com,Hiichiikok Foundation,http://hiichiikokfoundation.com,,
1,"29, First floor, Lebuh Kota Permai Satu, 14000, Bukit Mertajam, Pulau Pinang",Advocacy/Education/Sponsors/Support Groups/Youth,+6012-467 4448,,"Who we are

“Self Empowerment & Educational Development Society” (SEEDS) saw light with the approval from Registry of Societies Malaysia to begin its mission to fulfil its vision and objectives on 8th September 2016.
The formation of the Self Empowerment & Educational Development Society (SEEDS) is based on the principles of its founder, Jeevithan P Ganasan, a well-known socialist/activist in Malaysia. . He has been known for the many social activities and his fight for justice. Having contributed much, this platform serves to continue the works of MCEO (which had to be deregistered due to some issues caused by irresponsible parties) to benefit the community in more ways than one. A motto of Jeevithan always lived by, ‘Teach one to fish instead of giving the fish’ and he believes in empowering and educating individuals instead of spoon feeding them. SEEDS aims to achieve this by providing a platform for the community to grow, learn and develop themselves. It believes that only through this, will the less fortunate escape the poverty trap; that has so many of our community struggling to get out of. It also follows suit in its founder’s ethics to walk the talk and not just make promises without the means to see it through. It further aims to make a realistic difference in the community; further promising to ensure it is done. With holistic plans to instil confidence and build capabilities, SEEDS intends to uplift marginalised communities to greater heights. By doing so, the organisation hopes to develop competent Malaysians who will be capable of standing on their own feet and have the mind-set to excel instead of depending on charitable hand-outs or the goodwill of others to survive.
It is also a society created to empower people in entrepreneurship and strengthen the community by enlightening them on the importance of education; and also a new platform for the Malaysian Community Development Organisation (MCEO).
SEEDS Mission: Educating and instilling self-awareness to create a self sufficient Society
SEEDS Vision: The society making a name for themselves with its own efforts.",,Self Empowerment & Educational Development Society – SEEDS,http://www.facebook.com/VerifiedOfficialSEEDS.Org,,
2," 9, Jalan 7/118B, Desa Tun Razak, Cheras, 56000 Kuala Lumpur",Children/Differently Abled/Environment/Orang Asli/Recommended/Refugees/Senior Citizens/Single parents/Social Enterprise/Sponsors/Support Groups/Youth,03-9226 5500,Hayati Ismail,"Who we are

The Food Aid Foundation is managed by professionals with experience in the food services industry and supported by a team of staff comprising of employees and volunteers; with a pool of cooks and drivers, we are ready to serve those in need.
Our Values and Accountability

Our work
COLLECT SURPLUS COOKED HALAL FOOD acquired from hotels, restaurants, and food establishment to distribute to the poor and needy.
COLLECT VOLUMES OF NON – PERISHABLE HALAL FOOD that are generally dried, canned or pre-packed from food manufacturers, importers, wholesalers and all willing donors; distribute them to charitable homes to help the underprivileged. This includes close-to-expiry date products, off spec, discontinued promotional products, etc.
COLLECT UNCOOKED RAW FOOD from the wholesale wet and dry markets and companies with food service operations; then process them in our central kitchen for distribution to orphanage and welfare homes.
See our operations chart, here.
We need volunteers for some special activities like disaster esp Emergency Relief, New Program Launches.
We welcome donations for our operational activities and any special events that we plan to do in the future.
Who donates food? If you are a:
What can be donated?
REMARK : ALL FOOD PRODUCTS MUST BE HALAL AND SAFE.
Our upcoming events",info@foodaidfoundation.org,Food Aid Foundation,http://foodaidfoundation.org/ ,,
3,"Level 11, Bangunan Setia Satu, 15 Lorong Dungun, Bukit Damansara, 50490 Kuala Lumpur Wilayah Persekutuan Kuala Lumpur, Malaysia",Advocacy/Education/Sponsors/Support Groups,+603 20968962,,"Who are we
YSPM was originally mooted in late 2013 at a meeting of leaders of Parent-Teacher Associations (PTAs) of schools in Putrajaya. They were desirous of setting up a foundation to carry out activities to complement the efforts of the government of Malaysia to further lift the standard of education in Malaysia as outlined in the Plan Pembangunan Pendidikan Malaysia 2013-2025 (PPPM 2013-2025). In particular, while the PPPM 2013-25 is very comprehensive, there are always areas where non-governmental organisations can play meaningful synergistic roles. One of these areas lies in the contributions of PTAs of schools.
PTAs that are active can offer good support to schools, enabling the school’s management to conduct various initiatives over and above what the government can provide. These initiatives will obviously benefit the students, giving them a better chance at academics, as well as, all-rounded excellence.
However, the abilities of PTAs to offer the much needed support to the schools differ widely due to a multitude of reasons. Schools in the rural areas, in the interior, as well as urban poor schools face greater challenges compared to urban schools. These challenges include poor leadership, lack of support from parents of students, low financial resources and poor basic infrastructure. It is therefore not surprising that in terms of performance, annual statistics continue to show urban students performed better compared to those in the rural areas, in the interiors and in urban poor schools.
The government of Malaysia is aware of this gap in performance. In fact, this gap is listed as a priority item in the (PPPM 2013-2025) and many initiatives and action plans in this document are aimed at bridging this gap.YSPM wishes to complement the efforts of the government to bridge this gap in overall performance between urban students and students in the rural areas, in the interiors and in urban poor schools.
 YSPM intends to do this by offering support and assistance to PTAs of schools, especially schools in the rural areas, in the interiors and urban poor schools. This, in essence, is what YSPM is all about.
 In order to accomplish this, funds are needed. YSPM is grateful to the government of Malaysia for providing the initial grant to set up this foundation but its continuous existence will require funding assistance from corporations or individuals. In this respect, YSPM is unique as it is an officially recognised platform through which contributions can be made to benefit PTAs of schools in Malaysia.
 YSPM was officially incorporated on 03 November 2014 as a company limited by guarantee and not having a share capital. Its patron is the Minister of Education of Malaysia.
 We hope you share our vision and we invite you to be part of this noble effort to nurture and develop our young. The future begins here, let’s bridge this gap!",enquiry@yspm.org.my ,Yayasan Sarana Pendidikan Malaysia,http://www.yspm.org.my,,
4,"No. 17, Jln 16/2, Seksyen 16, 46350 Petaling Jaya. Selangor. MALAYSIA",Featured organisations/Sponsors/Youth,+603 7958 1576,,"
Aman Foundation was founded on January 17th, 1983 and is a non-profit organisation with the following objectives:-
The Aman Foundation has also established a volunteer team called the Aman Foundation Club to further support its programs. These volunteer based programs such as disaster relief efforts and neighbourhood clean up programs will be conducted with help and support from the local authority and other volunteer organisations.
Mission
Committed to transparent management, a balanced social development by providing assistance and aid that is unbiased and equitable.
Vision
We aim to be the premier non-profit organisation providing aid to less fortunate members of society in urban and rural areas.
 ", yayasanaman@yahoo.com | hq@yayasanaman.org ,Yayasan Aman,http://www.yayasanaman.org/,,
5,"Setia Corporate Tower  5A, Jalan Setia Nusantara U13/17,  Seksyen U13, 40170 Shah Alam,  Selangor Darul Ehsan   ",Education/Health/Sponsors,+603 3344 8800,,"Who we are

The S P Setia Foundation is a charity trust founded in 2000, through the auspices of S P Setia Berhad, with the aim of helping underprivileged individuals and charitable bodies.
Our services
Our key areas of interest are:
The fund is administered by the Board of Trustees. Our major fundraising activity is the annual charity dinner that has become one of the most highly anticipated and prestigious events of the year. To date, the Foundation has raised a total of RM56.5 million, which it has actively deployed to assist the less fortunate throughout Malaysia.",setiacare@spsetia.com,S P Setia Foundation,http://www.setiafoundation.com.my,,
6,"15A, Persiaran Syed Putra Bukit Robson 50460 Kuala Lumpur",Sponsors/Support Groups,+603 2283 3020,Ms Simone Loh,"Our objectives
1. To motivate and inspire the strengthened presence of the caring culture in our community and social development by exemplary application of the caring culture in every project.
2. To promote a caring society, built upon strong family values and conscious social development and the spirit of humanitarianism through community involvement, education, arts and culture.
3. To stimulate synergy among different generations, social and ethnic groups and work sectors.",mhfhuman@tm.net.my,Malaysian Humanitarian Foundation (MHF),http://mhfhuman.com/,,
7,"Make-A-Wish® Malaysia Office G116 Ground Floor, Bangsar Shopping Centre, 285 Jalan Maarof, 59000 Kuala Lumpur",Children/Health/Sponsors,603 4047 9010/ 31 ,,"Mission of Make-A-Wish®
We grant the wishes of children with life-threatening medical conditions to enrich the human experience with hope, strength and joy.
History of Make-A-Wish® Malaysia
The Malaysian affiliate was launched in 2010 and on average we grant two new wishes every month. We constantly receive new referrals and with only one staff member, we rely on our dedicated volunteers to help us grant wishes and raise funding for our mission. We currently have 30 volunteers and the majority of them are trained as Wish Granters.
Founder of Make-A-Wish Malaysia, Sandra Kirwan, expresses her excitement for the new affiliate:
 “It is a great privilege for Malaysia to become the 35th affiliate of Make-A-Wish Foundation International. Becoming a member of the Make-A-Wish family provides us with access to all the knowledge, experience and resources of this prestigious global organisation. Such tremendous support will enable Make-A-Wish Malaysia to enrich the lives of many children with life-threatening medical conditions through wish granting. We are delighted and honoured to be part of such a well renowned global wish granting foundation.
I would like to express my sincere thanks to the following who helped me achieve affiliation… Datin Syarifah Farah Hussain, Roslie Sulle, Najuib Malik, Maeve Power, Jann Muir, Kathy Kaiser, Annette Grubb, Patricia Reid, Iris Laughton and Darina Walsh. Also many thanks to our Board Members and Volunteers who have worked tremendously in establishing the Malaysian Affiliate in 2010.",info@makeawish.org.my,Make-A-Wish®,http://makeawish.org.my,,
8,"The Charity Club Langkawi 464a Cerok Linchai Kedawang 07000 Langkawi, Kedah Malaysia",Children/Single parents/Sponsors/Support Groups,+6017 277 0170 (Evelyn Thangam),,"Who are we
A group of people committed to improving the day to day lives of underprivileged families on Langkawi.  All funds raised are used to benefit underprivileged families – the club takes minimal general expenses and those related to specific fund raising activities.
How you can help
You can help to improve the day to day lives of underprivileged families on Langkawi by:
• DONATING cash.
• DONATING food items.
• DONATING unwanted clothing, shoes, toys, linen and household items.
• SUPPORTING our fund raising activities.
• BUYING our Cookery Book.
• BUYING items handmade by our home-bound people – our Chrysalis Programme.
• VOLUNTEERING your time to help with our activities.
• OFFERING your services/products, either free or discounted – trades people are especially welcome!
• OFFERING employment to one of our needy family members.
• SPONSORING a child/school uniform/further education costs through our Sponsor A Schoolchild programme.
• ASSISTING a family with day to day living expenses through our Adopt a Family programme.
• OFFERING to sponsor/mentor/train homebound people to learn skills to enable them to support their families – our Chrysalis Programme.
• TELLING us about anyone on the island who you think may benefit from our help
The day to day operation of the Charity is undertaken by the following Committee Office Bearers:
What we do
 ",langkawicharity@gmail.com,"The Charity Club Langkawi, Kedah",http://www.langkawicharity.com,,
9,"Raleigh International Kuala Lumpur P.O. Box 13521, 50812 Kuala Lumpur, Malaysia.",Sponsors/Support Groups,+6012 697 3746,,"Back in 1978 when Colonel John Blashford-Snell and HRH Prince Charles started Operation Drake, they had a vision. They wanted to give young people a chance to explore the world and by doing so discover their potential as leaders and members of a team working together to make a difference. Raleigh still hold true these values today with its two commitments.
Raleigh is committed to inspiring people from all walks of life, ages and nationalities, involving them more deeply with people, places, communities and challenges and empowering them to be all they can be. Its second commitment is working in partnership with local communities to make a much needed difference to their lives.
Raleigh is for life
Raleigh is not just about an expedition; it’s about being part of a community of like-minded people. Ordinary people who want to do something extraordinary with their lives, make a difference in the world and new friends along the way. Raleigh’s vision is to inspire a generation to be all that they can be; to awaken a sense of life-purpose and belonging, and unite them as part of a global community who can work together to rise to the challenges of the world we live in.
A Raleigh expedition is not just for life. It is a way of life.
Making a difference
As a charity, Raleigh raises funds to make its expeditions the best possible experience for the volunteers and the local communities. In this role, Raleigh acts as a catalyst for change, bringing local communities together, sometimes for the first time as one team and giving them the resources and motivation to achieve sustainable development. To do this Raleigh works in partnership with local communities, non-governmental organisations and governments in the host countries, following the Millennium Development Goals where it can.
The challenges
From the very first expedition Raleigh was founded on 4 challenges:
It is these challenges that make Raleigh special. Our values of discovery, courage, drive and integrity have come from the heart and we believe in them and live them in all we do.",info@raleighinternational.org.my,Raleigh,http://www.raleighinternational.org,,
