name,description,website,cause_area,programme_types,address,country,city,contact_number,email,contact_person
Association of Protection Development for Cambodia Environment,,,,,"#10E0, St. 212, Phsar Doeum Kor, Phnom Penh",Cambodia,,012 480 050,yeanchansopagna@gmail.com,"Mr. Yean Ly, Director"
Banteay Srei,,,,,"#36 St 480, Phsar Doem Thkov, Chamcar Morn, Phnom Penh",Cambodia,,023 216 922,banteaysrei@online.com.kh,"Ms. Path Ponnary, Executive Director"
Building Community Voice,,,,,"# 77, Street 390, S/k Boeung Keng Kang 3",Cambodia,,012 641 236,phuong.bcv@gmail.com,"Ms. Pry Phally Phuong, Executive Director"
Buddhism for a Progressive Society,,,,,"Phum Phearakech, Khum Pang Hal, Srok Tbeng Meanchey,Preah Vihear Province",Cambodia,,,,"Mr. Nhim Phan, Director"
Cambodia Community Finace Network,,,,,"#13b, St. 426, S/K Toul Tumpung II, Phnom Penh",Cambodia,,,,
Cambodian HIV/AIDS Education and Care,,http://www.checcambodia.org,,,"#86 St 608, Boeung Kork II, Toul Kork, Phnom Penh",Cambodia,,023 884 473,chec@online.com.kh,"Ms. Kasem Kolnary, Director"
Cambodia Women Culture Development,,,,,"#56E0, St. 324, Boeung Salang, Toul Kork, Phnom Penh",Cambodia,,,sovuthy_cwcd@hotmail.com,"Ms. Heng Sovuthy, Executive Director"
Cambodia Farmer Economic Development,,,,,"Phum Chambak, Srok Svay Chrum, Khum Cheek, Svay Rieng",Cambodia,,,sophoncfed@yahoo.com,"Mr. Ream Sophon, Executive Director"
Cambodian Labour Organisation,,,,,"#425, St.118, BKK2, Phnom Penh",Cambodia,,023 218 132,adm-clo@forum.org.kh,"Mr. Seng Phally, Executive Director"
Cambodian Sanitation and Recycling Organisation,,http://N/A,,,"#39 St.358, ToulSvay Prey I, Phnom Penh",Cambodia,,012 217 747,info@csaro.org,"Mr. Heng Yon Kora, Executive Director"
Cambodian Farmer Economic Development,,,,,"Phum Chambak, Srok Svay Chrum, Khum Cheek, Svay Rieng",Cambodia,,,sophoncfed@yahoo.com,"Mr. Ream Sophon, Executive Director"
Cambodian Human Rights and Development Association,,http://www.adhoc-chra.org,,,"#1, St.158, Phnom Penh",Cambodia,,023 218 653,adhoc@forum.org.kh,"Mr. Thun Saray, President"
Cambodian Women’s Crisis Center,,http://www.cwcc.org.kh,,,"#13c, Street 331, S/k Boeung Kak II, Khan Toul Kork,",Cambodia,,023 997 967,director@cwcc.org.kh,"Mrs. Pok Panha Vichetr, Executive Director"
Cambodian Women’s Development Association,,http://N/A,,,"#19 St 242, Boeung Prolit, 7 Makara, Phnom Penh",Cambodia,,023 210 449,cwda@online.com.kh,"Ms. Kean SereyPhal, Director"
Cambodian Rural Economic Development Organization,,http://N/A,,,"#118 St 186, Toek Laark III, Toul Kork, Phnom Penh",Cambodia,,023 987 793,credo@forum.org.kh,"Mr. Hok Bunthoeun, Director"
Cambodian Youth Development,,http://N/A,,,"#14B St 418, Toul Tom Poung II, Chamcar Morn, Phnom Penh",Cambodia,,023 987 793,cyd@camnet.com.kh,"Mr. Chin Mardy, Director"
Centre d’Etude et de Developpement Agricole Cambodgien,,http://www.cedac.org.kh,,,"#39 St 528, Boeung Kak I, Toul Kork, Phnom Penh",Cambodia,,023 880 916,cedacinfo@cedac.org.kh,"Mr. Sam Vitou, Executive Director"
Christ for Development Kampuchea,,http://N/A,,,Battambang Province.,Cambodia,,,som.virakdara@yahoo.com,"Mr. Som Virak Dara, Executive Director"
Cooperation for Development of Cambodia,,http://N/A,,,"Phum Balang, Domrie Chonkla, Srok Stoeung Sen, Kompong Thom Province",Cambodia,,069 803 774,codeckt@yahoo.com,"Ms. Yann Savan, Director"
Cambodian League for the Promotion & Defence of Human Rights,,http://www.licadho-cambodia.org/,,,"#103, St.118, Phnom Penh",Cambodia,,023 216 602,licadho@camnet.com.kh,"Ms. Naly Pilorge, Director"
Culture and Environment Preservation Association,,http://www.cepa-cambodia.org,,,"#59A St 156, Phsar Depo I, Phnom Penh",Cambodia,,023 881 613,cepa@cepa-cambodia.org,"Mr. Luy Rasmey, Executive Director"
Community Legal Education Center,,http://www.clec.org.kh,,,"#54 St 360, Boeung Keng Kang I, Chamcar Morn, Phnom Penh",Cambodia,,023 211 723,admin@clec.org.kh,"Mr. Nhek Sarin, Executive Director"
Development and Partnership in Action,,http://www.afd-cambodia.org,,,,Cambodia,,062 690 0213,sopheak@afd-cambodia.org,"Mr. Som Sopheak, Acting Executive Director"
Farmer Livelihood Development Organization,,http://N/A,,,"#3 St. 323, Sang Kat Boueng Kang Kang2, Phnom Penh",Cambodia,,023 6363 894,info@fldcambodia.org,"Mr. Koy Saran, Executive Director"
Fisheries Action Coalition Team,,http://www.fact.org.kh,,,"#215 St 150, Teuok Laok II, Toul Kork, Phnom Penh",Cambodia,,023 992 044,savath@fact.org.kh,"Mr. Om Savath, Executive Director"
Gender and Development for Cambodia,,http://www.gadc.org.kh,,,"#89 St 288, Olympic, Chamcar Morn, Phnom Penh",Cambodia,,023 215 137,ed@gadc.org.kh,"Ms. Ros Sopheap, Executive Director"
Healthcare Centre for Children,,http://www.sccf-hcc.org,,,"#132D St 135, Phsar Doem Thkov, Chamcar Morn, Phnom Penh",Cambodia,,023 212 133,hcc.ed@online.com.kh,"Ms. Ly Sotheary, Director"
Human Rights Vigilance of Cambodia,,http://N/A,,,"#1BEo, St. 86, Sras Chork, Phnom Penh",Cambodia,,023 986 225,vigilance@online.com.kh,"Mr. Kim Sovann, Executive Director"
Human Resource and Rural Economic Development Organization,,http://N/A,,,"#344, Wat Damnak village, Salarkamroek commune, Siem Reap district, Siem Reap Province.",Cambodia,,,hurredo76@hotmail.com,"Mr. Ngin Bunnrith, Director"
Indra Devi Association,,http://N/A,,,"#20AE3 St 178, Boeung Raing, Daun Penh, Phnom Penh",Cambodia,,023 357 161,ngo.indradevi@yahoo.com,"Ms. Dy Ratha, President"
Khemara,,http://khemaracambodia.org/,,,"Ottaravatei Pagoda, National Road 5, Mithapheap village, Russey Keo, Phnom Penh",Cambodia,,023 230 332,khemara.ed@khemaracambodia.org,"Ms. Koy Phallany, Executive Director"
Khmer Community for Agricultural Development,,http://N/A,,,"Chamlong Chrey village, Sdech Kong commune, Banteay Meas district,Kompot Province",Cambodia,,,ouksaren@hotmail.com,"Mr. Ouk Saren, Director"
