website,email,contact_number,address,city,name,5,6,7
abimsabah.blogspot.com,jjaafarmahmud@yahoo.com,168401894,WDT 501 PEJABAT POS BESAR SABAH 88100 KOTA KINABALU SABAH,kota kinabalu,,,,
www.agathians.org,admin@agathians.org,012-2968014,"No 22 Jalan Kelah 8/6, Seksyen 8, 46050 Petaling JayaSelangor",PETALING JAYA,,,,
www.aidhome.org,intan@emagineers.com.my,6 012-3082.092,"No 6-3, Jalan USJ 9/5R47620 Subang JayaSelangor","Subang Jaya, Selangor",,,,
www.aiesec.my,youth@aiesec.my,03-78871624,"Block E-51-2, Zenith Corporate Park, Jalan SS7/26,",Petaling Jaya,,,,
www.ajarajarmalaysia.org,phyee1057@hotmail.com,010-9008470,"12, Jalan Utara Section 52",Petaling Jaya,,Facebook Profile,,
facebook.com/akujanjihijau,akuhijau.org.my@gmail.com,1111608965,"905, The Maple Suite, Jalan Changkat Raja Chulan, 50200 Kuala Lumpur",Kuala Lumpur,,,,
www.awam.org.my,awam@awam.org.my,03-78774221,"85, Jalan 21/1 Sea Park",Petaling Jaya,,,,
http://myaltruistik.wixsite.com/myaltruistik,myaltruistik@gmail.com,60179398301,"No 49, Jalan Saga 26, Taman Saga, 68000 Ampang, Selangor",-,,Facebook Profile,Instagram,
www.adfm.org.my,office.adfm@gmail.com,03 7956 2008,"No. 6, Lorong 11/8E, Seksyen 1146200 Petaling JayaMalaysia",Petaling Jaya,,,,
www.amitabhamalaysia.org,chloe@amitabhamalaysia.org,+607-2380448,"59, Jalan Glasiar, Taman Tasek 80200 Johor Bahru, Johor, Malaysia.",Johor Bahru,,,,
amnesty.my,aimalaysia@aimalaysia.org,03-79552680,"D-2-33A 8 Avenue
Jalan Sungai Jernih 8/1
Section 8",Petaling Jaya,,,,
http://muradfdtn.tripod.com/id4.html,murad@eastwest.edu.my,06-7655560,"A-3-1 Jalan Sentral 1,Dataran Sentral70100 SerembanNegeri Sembilan",Seremban,,Facebook Profile,,
http://baoenshi.monoc.my,waihoong_c@hotmail.com,-,"Lot 157366,Off Jln Ampang Baru 6,Ampang Baru New Village,31350 Ipoh, Malaysia",Ipoh,,,,
http://afm.org.my,admin@afm.org.my,03-79606177,"Peti Surat 10, Ground Floor Bangunan Sultan Salahuddin Abdul Aziz Shah",Petaling Jaya,,,,
asiacommunityservice.org,acspenang@gmail.com,012-4324230,"C0-23-UP, Kompleks Masyarakat Penyayang, Jalan Utama, Georgetown",Georgetown,,,,
menitisinarkebahagiaan.blogspot.com,menitisinarkebahagiaan@gmail.com,605-201 1391,"LOT 429, Kampung Tersusun Tanah Hitam",Chemor,,,,
http://agapesibu.org/acsn/,thtoh@yahoo.com,019-8172005,"Pusat Agape, Jalan Alan, Ulu Lanang, Sibu	Malaysia",Sibu,,,,
ppbm.org,general@ppbm.org,378802941,"NO53A/G, Block E, Zenith Corporate Park, Jalan SS7/26, Kelana Jaya, 47301, Petaling Jaya, Selangor, Malaysia",Petaling Jaya,,,,
www.pspk.org,info@pspk.org,-,"No.21,Jalan 2,Selayang Baru,68100 Batu Caves Selangor,Malaysia",Batu Caves,,,,
