name,country,description,address
Action for Public (AFP),myanmar,AFP has founded in 2008 to support the marginalized women   and youths AFP tries to promote the capacities of the disadvantaged youths   and women from the backgrounds of poverty or lack of exposure.  Main Goal   (1) To empower the women by providing the skills and   trainings   (2) To increase the women earning income level by providing   job  opportunities   (3) To promote the capacities of the women and youth through   trainings a. Sewing vocational trainings for women living with HIV   b. Income generation program for women living with HIV   c. MicroÞ  nance program for women living with HIV  d. Community Development and capacity building trainings     for youths in Urban and rural areas Women living with HIV  Women and youths  from rural areas,"Action for Public (AFP) No.21, Khayepin Yeik Mon 7th street, Khayepin Yeik Mon 1st   Avenue, Mingalardon Township, Yangon Tel : 01 637167"
Agency for Basic Community Development [ABC],myanmar,"ABC is a Catholic humanitarian organization founded in 2009 under the   patronage of His Grace Archbishop Charles Bo, SDB, DD, the Catholic   Archdiocese of Yangon. The conception of ABC dates back to the 2008   Cyclone Nargis. Such disaster was a catalytic push for the mushrooming   of local civil society organizations (LNGO) especially in delta, lower   Myanmar.   Yet, very few NGOs exist in Chin State, the highland region where Chin   indigenous people live in extreme poverty. In its efforts to expand the   outreach to the minority highland residents, ABC organization began   to implement indigenous promotion project in 2009 in Falam, Chin   State.   Catholic Christian in origin, ABC helps people of different faiths and   social backgrounds without discrimination for the enlightenment,   empowerment and transformation of our society in general and the   self-sufÞ ciency of the rural grassroots communities in particular. Light in the dark side of the society  To aid the neediest in the least developed rural communities for   impartial small-scale assistance for self-support program Main Goal  - To help the needy help themselves for extreme poverty eradication    -To attend to the needs of the disadvantaged without favoritism  -To foster a culture of life, of peace, of dignity, of equality, of justice, of   inclusion, of solidarity, of harmony and of integrity  -To promote the cause of social justice, minority rights, and development   of our people towards nation building Agency for Basic Community Development [ABC]28 (B), Pa La Ya 50 Household, Wireless Qr., Mingalar    Township, Yangon, Myanmar.  Tel : 95-1-636081 (Of Þ ce), 95-9-49341080 (Director), 95-9-73007018 (Project Coordinator) Name of Leader U Maung John  (Director) Name of Contact Person Daw Phyo Wai Lwin  (Project Coordinator) U Thuan Lian Bil  (Project OfÞ  cer) E-mail abcmm.org@gmail. com (Head OfÞ  ce) mail@abcmm.org   (Kalay OfÞ  ce)  maungjohn@yahoo. com (Director) Year of  Establishment 2009 LOCAL NGO DIRECTORY 3 - Promotion and protection of indigenous people  - Capacity building through Community Development and Civic   Empowerment Training  -  Psychosocial support training for vulnerable children  - Fundraising for the disadvantaged women  - WASH for grassroots communities   - Jeepable car road construction for highland minority communities ",
All country agency for Rural Development,myanmar,"ACRD was established in 1.11.2009 with 15 member volunteer   community leaders To enhance Health, Social ,educa tion and  economic of Rural   community to be  developed  Main Goa l  To reduce 75% proverty in Rural community  ","All country agency for Rural DevelopmentNo.17 , Long van award , MaTUPI , Chin State, MyanmarTel :  0949294081"
Amara Foundation,myanmar,   ,"Amara Foundation and started social support such as Health   sector, Education sector and Social sector in delta area ( Ayeyarwaddy   Division).Vision/Mission   The principle of the Amara Foundation e.v are to provide   sustainable and long-term development assistance with the aim of   improving the health, education and living conditions of the people in   Myanmar. Main Goal   To take care health to the people.   To provide education support to the people.   To provide social support to the poor people. Primary BeneÞ  ciaries   The people who are  poor and live in rural area  AMARA Foundation No.(6), Tayza road, Kyankhinsu Quarter, Mingalardon Township,  Yangon Tel : 01-652191, 01-663347, 09-8601132, 09-49759020,        09-73092036"
Ar Man Thit (New Power),myanmar,   ,"Ar Man Thit SHG was established with 10 members in October   2007. Ar Man Thit, SHG aims to help peers in care and support   services. Vision/Mission    To promote the life of peers, to develop the capacity of the   peers, to have a place for SHG Main Goal    WW will stand their own and to promote the quality of life   among WWMain Activities    Home base Care, Counseling, Condom distribution, Health   Education, Care giver service at Hospital Primary BeneÞ  ciaries    WW and their families Ar Man Thit( New Power)C/O Nya 4/18 KyauK Sein Street, Ward 10, Lashio Township  Tel : C/O 08223456"
Ar Yone Oo Social Development Association,myanmar,Provided Emergency Humanitarian assistance to Disaster proned   area during Nargis in  Yangon and Delta region. After emergency  period   expanded activities to include livelihood recovery and Development   works Provided Emergency Humanitarian assistance to Disaster proned   area during Nargis in  Yangon and Delta region.  After emergency period   expanded activities to include livelihood  recovery and Development   works  Main Goal    Working together with the beneÞ  ciaries for their sustainable  development  ,
Aye Mya Myitta,myanmar,"Relife and recreation for affected Area Respect each other / To promote goodenviroment in any   sectors Main Goal To provide basic need Emergency Food, Kitchen, Hygiene    Kit, WASH, Health Care, Education,   Houses, Farming Activities for affected Area (Nargis) People of emergency  affected area  Ayae Mya Myitta ( AMMT) Room (7), Railway OfÞ cer Avenue, Corner of Kanner Road & Thein  Phyu Road, Botahtaung Township, Yangon , Myanmar Tel :  95-9-5043895,95-9-5034576,95-1-200852",
Badei Dha Moe - Civil Society Organization,myanmar,"BadeiDha Moe CSO was formed from the time of December,   2010 for networking and sharing among friends from INGOs (active   young generation) through humanitarian library. We are sharing   information also to other community-based and civil society organiza-  tions for more networking and awareness-raising.   BadeiDha Moe CSO has commitment to strengthen local   capacity.  The fo cus of our work has evolved from providing direct  services to working more through partners. We are emphasizing   partnerships with local organizations and deemphasizing direct   delivery of goods and services.    Strengthening civil society, or strengthening the capacity of   youth and local organizations to inß  uence development processes, is  one of BadeiDha Moe CSO's most important priorities. Promote gender equality & empower women, extensive   sustainability, aware citizenship and partnership for development     Partnership and Networking with local organizations     Strengthening  civil society, the capacity  of youth and local   organizations to inß  uence development processes  Building up advocacy practices by means of local communities   for their issues Main Goal  To open spaces and open minds Networking and leadership training CBO         strengthening,  capacity building and Livelihood Rural, urban, migrants,          women, ethnic groups, dis  able and landless       worker BadeiDha Moe - Civil Society OrganizationPizzimaryone Monastery, Yankin Tsp., Yangon. (Former Place of 'Window' Library) Tel :  95-973169981",
Bene® cial Panter Group,myanmar,"BPG is a non proÞ  t organization born out of a dream to help  the most vulnerables ection of the society move away from difÞ  culties  in social,economic and spiritualsector. Est ablished as a self help group   begin with eight members in 1st June, 2009.   ",
Better and Undisruptive Delivery Support,myanmar,"BUD was established in October 2007. Its members are staff of   a number of UN, International, Local organizations and professionals   working in the private sector in Myanmar who are involved in providing   maternal and chil healthcare assistance.  BUD has observed the social   and economic difÞ  culties being faced by HIV infected and non?infected  pregnant women and has committed to provide organized support   to alleviate health problems and psychosocial stress of he affected   women.   BUD has put together and organized approach to provide   assistance for safe delivery, for effective counseling, as well as for   providing effective good health practices and to transfer clients to   medical facilities. BUD also provides economic assistance to HIV positive   women and their households with low interest microÞ  nance loans to  estabish small?scale business. We will strive for the prevention of mother?to?child transmission   of HIV and for the safe delivery of the newborn.    Main Objective   a.Todecrease the risk of   transmission from mother to child of HIV and other sexually   transmissible infetions.   b. To reduce the medical risks for mother and the new born at   the time of delivery.   c. To alleviate suffering and social consequences of HIV infection   through psycho?social support.   d. To alleviate economic consequences of HIV infection through   income generation projects.  ","Better and Undisruptive Delivery Support (BUD)158 (D), Htee Hlaing Shin Lane (1), Htee Hlaing Shin Housing, Ward (8), Hlaing Thar Yar Towhship.     Tel :  0950 78 454"
Better Life,myanmar,   ,"Better Life   About Better Life   Better Life organization is Local non-governmental organizations  in Myanmar. Better LifeÕs primary concern is to resource and empowers   people within their community so that they are able to actively engage   in decision making on activities that clearly impact on their lives and   to assist people to get more knowledge, capacity and skills that could   make people to make the right decision on the activities that impact   on their lives and that can lead them to have Better Life.   Sectors   Livelihood  WASH   Community Development   Civil Society Development   Emergency Response Better Life Organization (BLO)No. 3, Second Floor, Building 4 (A), Pyan Hlwar Building,  Parami Road,Mayangone Township, Yangon Tel : 09-73034732, 09-6710150, 09-73152017,  09-49348745,           09-49348746"
Body Guard Foundation,myanmar,   ,"Body Guard FoundationMain Activities    Education, Health, Transportation, Water Supply, Pond   Construction, Health care services for women and children, Life skill   training and support for women livelihood, Malaria and HIV/AIDS   Eradication Program; Resource mobilization for monastic education   school, etc.  175, Nawarat Road, 2 Block, Wai Bargi Myothit, North   Okkalarpa, Yangon Tel  : 01 691 266"
