name,description,website,cause_area,programme_types,address,contact_number
"CASE - Centre for Advancement of Business ,Innovation and Social Entrepreneurship","The establishment of Centre for Advancement of Business, Innovation and Social Entrepreneur (CASE) is predominantly envisioned at improving the living standard of the individuals that we engage with. Social entrepreneurship provides various modes for them to be part of the country's growth and provide innovative, sustainable solutions to the deep-rooted social issues and problems. Furthermore it helps to create alternative sustainable economic successes and empower individuals from the poverty ridden areas in Malaysia. Hence CASE mainly aims at spreading the entrepreneurial skills and knowledge amongst the individuals especially from the rural, urban, semi-urban and vulnerable areas.",http://www.case.org.my,,,"SW-02-31 cova square ,jln Teknologi Sains Selangor 1,PJU 5,Kota Damansara, 47810, PETALING JAYA, Selangor, Malaysia",03-61512242
Community Recycle for Charity (CRC),"View galleryCRC stands for Community Recycle Charity (CRC). It is an NPO, Charity organization founded on the year of 2007 with the aim to serve communities by helping those who are in need regardless of neither race nor religion.
CRC is composed of young professionals who are determined to make our communities a better place with strength and integrity to bring about welfare for the needy in our communities through the work of recycling.
We exist to play a proactive role to serve the needy in our communities by means of environmental friendly practices of ""RECYCLING"". It is our aim to be the VOICE of those in need, the ANSWER from those who are more fortunate.
CRC envisions growing and becoming as one of the world?s leading generous Charity organization in the world. It is our vision to generate ripples of love, happiness & hope for the abandoned, the deprived, the abused, the sick and disadvantaged all around the world. We?re also dedicated to support community and school projects worldwide; to make life better and bring hope to those that are less fortunate in life.
Our GOAL is to connect you with charities that you care about in the most convenient, reliable and in as secure manner as possible. We?re not limited to one type of Charity because we want to serve everyone that needs help and we want to involve anyone who wants to help.",http://www.crcbox.com.my,,,"No. 47, Ground Floor, Jalan Desa Cahaya, Taman Desa Caha, 56000, Kuala Lumpur, Cheras",6017-3638100
Force Of Nature Aid Foundation,Helping victims of natural disasters,http://www.forceofnature.org,,,,(+603) 7960 0366
Hospis Malaysia,Provides professional Palliative Care services,http://www.hospismalaysia.org/,,," 2 Jalan 4/96, Off Jalan Sekuci, Taman Sri Bahtera, Jalan Cheras, 56100, Kuala Lumpur",60 3 9133 3936
Kelab Amal Wanita Langkawi,"View galleryIn 1991, a few Langkawi ladies got together and held their first Charity Dinner, the proceeds of which went to Sekolah Kebangsaan Kuah. Following its success, the ladies decided to form a social and registered charitable club?Kelab Puteri Langkawi (NGO). Today Kelab Amal Wanita Langkawi has a membership of around 30 ladies which includes many local business women and ladies from across the globe who are either just passing through or have decided to make Langkawi their long term home. 
The clubs? aim, as always, has been to provide charitable and social assistance for the benifit of all Langkawi residents and visitors - our main benificiary being the Langkawi General Hospital.
Korshida Begum has served two terms as Club President and is responsible for spurring her members on to come up with ideas for Charitable Events and forming the work committees to carry these ideas through. 
(Formerly known as Kelab Puteri Langkawi, in 2008 it was felt that our club name was being confused with other organisations. As this mix up could be detrimental to our fund raising efforts we therefore felt it would benefit us to have a complete name change, hence from June 2009 we will be known as KELAB AMAL WANITA LANGKAWI a Registered Non-Government Organization, and continue our aim to raise funds for the benefit of all Langkawians.)
",http://kelabamalwanitalgk.webs.com,,,"8, Jalan Pandak Mayah1, , 07000 Langkawi, , Kuah, Kedah, Malaysia",+604-966 7778 
Kelab Kebajikan Rakyat Malaysia,"View galleryKelab Kebajikan Rakyat Malaysia (KKRM) was registered on 11th May 2012 under Section7, of the Societies Act 1966.
The club is a nonprofit NGO and its main objectives are:
1.Implement programs and activities related to community welfare.
2.Conduct programs and activities towards character building and self-esteem.
3.Conduct charitable work to achieve the objectives of the organization.
4.Conduct charitable work towards the welfare of persons with disability such as hardcore poor, neglected, abused and illiterate.",http://www.investhealth.net,,,"Suite 14, Putrajaya International Convention Centre (PICC), 62000, Putrajaya, Wilaya Persekutuan, Malaysia",60126062342
Kiwanis Down Syndrome Foundation,,http://www.kdsf.org.my/,,,"Lot 13490, Jln Jenjarum, Off SS23/1, Taman SEA, 47400, Petaling Jaya, Selangor",603 7803 0179
Malaysian Care,"View galleryCharity organisation registered in 1979 with tax-exempt status, committed to serving the poor & needy. Core services: Rural & Urban Community Development; Special Needs (Learning Difficulties); and Prison, Drugs & AIDS",http://www.malaysiancare.org/,,,"15, Jalan Tasik Selatan 3, Bandar Tasik Selatan, 57000, Kuala Lumpur, 14 - FEDERAL TERRITORY OF KUALA LUMPUR, Malaysia",60390582102
National Cancer Society,"Dedicated to preventing Cancer, saving lives from cancer and improving the quality of life of those living with cancer through patient care and education.",http://www.cancer.org.my/,,,"66 Jalan Raja Muda Abdul Aziz, 50300, Kuala Lumpur",03-2698 7300
National Council For The Blind,"Helping the blind in Malaysia, umbrella organisation for the blind in Malaysia.",http://www.ncbm.org.my/,,,"94B, Jalan Tun Sambanthan, Brickfields, 50470, Kuala Lumpur","03 2273 5508, 03 2272 4959"
