description,name
"   Abroad.travel puts you in contact with the best travel experiences out there.  We believe that travel should be meaningful as well as fun, be that in terms of the challenges that you set yourself or the success of the activities you get involved in.  ",Abroad.Travel
"   We offer travelers the opportunity to explore a new country while taking part in meaningful, rewarding service work.  ",A Broader View Volunteers Corps
"   Volunteer.Travel offers safe, responsible and affordable placements abroad.  We use our wealth of experience to connect volunteers with meaningful and sustainable placements in remote or developing countries.  ",Volunteer.Travel
"   Projects Abroad is a leading global organiser of overseas voluntary work placements. Founded in 1992, we have now sent nearly 100,000 volunteers to projects all over the world!  ",Projects Abroad
   Instituto Hemingway was founded in 1999 right next to the city center in a historical building with fantastic views to both the old part of the town and river.   ,Instituto Hemingway
"   Smaller Earth is one of the worlds leading gap year travel providers, with cultural programs all over the world.   ",Smaller Earth
"   Love Volunteers provides meaningful, life-changing volunteering abroad programs in more than 35 developing countries worldwide.  ",Love Volunteers
"   Volunteering Solutions is a global volunteer placement provider with projects in more than 30 destinations across the world, including the likes of Asia, Africa, Australia, Europe and Latin America.   ",Volunteering Solutions
   Fronteering runs volunteer abroad projects and adventure travel trips that are off the beaten path in places less visited that are still wild and unspoiled where there is more to lose but through our combined efforts also more to achieve.  ,Fronteering
"   Intern.Travel provides travellers with safe, responsible and affordable work experience or internship placements abroad.  ",Intern.Travel
   A world of possibilities awaits you with Frontier.   ,Frontier
   Gap 360 run exciting gap year programmes from 2 weeks to 2 years! There are over 220 trips to choose from in over 50 countries.  ,Gap 360
   Our Mission: Create in China a community of resources bridging the gap between young talents who need help and those who want help.  ,Gi2C Group
"   Conservation Travel Africa provide responsible and meaningful working holidays, volunteer programmes and gap year travel in Africa. Our volunteer projects include: wildlife conservation volunteering, community development programmes and volunteer teaching.  ",Conservation Travel Africa
   We are Malawi’s only accredited wildlife sanctuary for orphaned or injured wild animals as well as being the country’s leading environmental education provider with over 20 000 school children taking part in our education programme each year.  ,Lilongwe Wildlife Trust 
"   Lenguactiva Ltd is the all-in-one language services company. Apart from providing language services to companies, we also help individuals who want to obtain a language qualification, be it for working, travelling or living abroad.  ",Lenguactiva Ltd
"   VoluntEars arranges overseas trips for D/deaf, hearing and hard-of-hearing people.  ",VoluntEars
"   We are a volunteer travel company based in India. We give genune service and authentic experiences of India by combining volunteer and travel in two distinct and great locations of India- Kerala in South India, and Kolkata in North India.  ",Volunteering Journeys
   Afreco Tours specialises in FGASA Safari Ranger Training (Field Guide Training courses) other Wildlife Courses such as tracking as well as conservation volunteering and safari trips/holidays.  ,Afreco
   Plan My Gap Year (PMGY) is an award-winning international volunteer placement organisation based in the UK.   ,Plan My Gap Year
   Volunteer with The Great Projects and really help to save some of the most endangered animals around the world!  ,The Great Projects
"   IVHQ provides affordable, safe and responsible volunteer abroad programs. Discover why we're the world's most trusted volunteer travel company...  ",International Volunteer HQ (IVHQ)
"   Real Gap Experience is the UK's most experienced gap year and student travel adventure specialists and has sent over 50,000 people on adventures abroad.   ",Real Gap Experience
   Oyster Worldwide is a well regarded gap year and responsible travel organisation with projects in 23 destinations around the world. Many of our programmes have been running since 1999.    ,Oyster Worldwide
   InterExchange is a nonprofit organization devoted to promoting cross-cultural awareness through work and volunteer exchange programs.  ,InterExchange
"   The Classic Tours & Safaris provides safaris, Kilimanjaro climbing trips, travel deals, camping safaris and wildlife tours itinerary throughout Tanzania.  ",The Classic Tours and Safaris Ltd
   Lanta Animal Welfare (LAW) is a non-profit organization. LAW’s objective is to relieve the suffering and pain of the animals on Koh Lanta island in the south east of Thailand.  ,Lanta Animal Welfare (LAW)
   SOS Tartarugas is a Capeverdian non-profit NGO protecting turtles and nesting habitat throughout Cape Verde. In particular we focus on patrols on loggerhead nesting beaches in order to deter hunting.  ,SOS Tartarugas Cabo Verde
"   American Paradise Camp is the first International English speaking residential summer camp in Vietnam. Children from 8-16 join us each summer to learn, grow, and have fun through our over 30 activities.  ",American Paradise Camp
   The AWPF leadership mini-gap programme is an African cultural experience of a lifetime. Learn the skill set of a true survivor and enter into a journey of self-discovery and discipline. Your experience with us will be life changing and life affirming.  ,AWPF Leadership Mini-Gap Programme
   Soi Dog Foundation is a fully registered charity with the aim to alleviate the suffering of the street dogs and cats in Thailand currently focused on the island of Phuket.  ,Soi Dog Foundation
"   Mobile horse safaris in South Africa with game viewing from horseback. We travel a route where we combine nights at lodges and our romanitc fly camp, which allows you to experience nature at its best.   ",Out in Africa Horse Safaris
"   Based in the Heart of Zululand, South Africa, Live4now offers a variety of projects which include volunteering with underprivileged children, volunteering with wildlife at ‘Big 5’ game parks and animal sanctuaries or for a complete African experience a combination of both.  ",Live4now
"   We offer Spanish languge lessons and volunteer programs in the port city of La Ceiba in Honduras. orphanages, health care, teaching English, dental electives ,special needs education, HIV/ AIDS, etc. Host family stay and full board.  ",Centro Internacional de Idiomas
"   P.A.W. Cat Sanctuary & Humane Society is a non-profit, no kill organization which has been in operation since 2003. We are located on the island of Caye Caulker (pronounced Key Korker) in the country of Belize.  ",P.A.W. Animal Sanctuary
