cause_area,name,description,website,email
Animals,Animal Sanctuary,Love Animal House is an animal sanctuary and education center in Chiangmai,http://animal-sanctuary.chiangmai-chiangrai.com/,loveanimalhouse at yahoo.com
Animals,Animals in Zoos,Zoos of Thailand,,
Animals,Strays in Bangkok,Pic-A-Pet Home : nurture stray dogs back to health and for adoption,http://thailand4life.net/icare/animals/picapet/index.htm,
Animals,Strays in Hua Hin,Hua Hin Dog Resue Centre : rescues stray dogs and rehomes them   Strays in Hua Hin,,info at dogrescuecenter.org
Animals,Thai Elephant Conservation,"A ""Mobile Elephant Clinic"" with experienced veterinarian",http://www.phuket.com/conservation/elephants.htm,ecearth at samart.co.th
Assorted,Nabuur.com,"Nabuur is not a Thai but an virtual organization, which matches online volunteers with local communities (Villages) in developing countries. Visitors are invited to become virtual neighbors of these Villages and help in their need of information.",http://Nabuur.com,info at nabuur.com
Assorted,Smiling Albino,"Highland Farm & Gibbon Sanctuary  Phayathai Babies’ Home  Clothing, Toys, & Other Stuff  English Fun",http://www.smilingalbino.com/community/,info at smilingalbino.com
Assorted,Thai Population Association,"The Thai Population Association (TPA) is an organization founded by a group of academics and specialists who are concerned with problems related to the size, quality and distribution of population in urban and rural areas.",http://www.thaipopulation.org/,
Assorted,UNESCO Bangkok,Division of Emerging Social Issues,,escap-esid at un.org
Children and families,International Humanity Foundation,IHF Thailand center in Chiang Rai is a home for hill-tribe children,http://www.ihfonline.org/thailand.php/,volunteerrecruitment.open@ihfonline.org
Children and families,Bambi,"BAMBI is a mother-led, non-profit group, offering support and companionship in the early years of parenthood. We hold monthly and weekly playgroups for babies and toddlers.",http://www.bambi-bangkok.org/,chairwoman at bambi-bangkok.com
Children and families,Bicycle Donations,Buddhist monk gives bicycles to poor children,http://thailand4life.net/icare/children/bicycle/index.htm,02 465 6165
Children and families,"Camillian Social Center, Rayong","The Camillian Social Center in Rayong was built to provide shelter and care to homeless, indigent, and rejected people living with HIV/AIDS (PLWHA). Special emphasis is placed on women and children, as they are the most vulnerable members of the society.",http://www.camillian-rayong.org/,cscrayon at loxinfo.co.th
Children and families,Care 4 Kids,Jesters Care For Kids is an organization to help underprivileged children from impoverished or broken families in Pattaya Thailand.,http://www.care4kids.info/,info at care4kids.info
Children and families,Center for the Protection of Childrens Rights,"The CRCR provides protection , temporary shelter , child welfare and rehabilitation up to 18 years old whose basic human rights have been violated. Our primary concern is with children who have been sexually or physically abused, abandoned or lured or sold into prostitution or used for unjust labour.",,cpcr at internetksc.th.com
Children and families,Child Rights Asianet,Child Rights ASIANET aims to promote and protect rights of children in Asia and the Pacific.,,cr_asianet at hotmail.com
Children and families,Child Workers in Asia,It facilitates sharing of expertise and experiences between NGOs and strengthens their collaboration to jointly respond to the exploitation of working children in the region.,,cwanet at csloxinfo.com
Children and families,Children in Asia,"Child Asia is dedicated to the aim of raising international awarness of the issues concerning children in Asia; promoting the convention on the rights of the child , fostering cooperation among organisations, governments, institutions and individuals to improve the lives of children and facilitating a regional network in Asia.",,ean at seameo-spafa.org
Children and families,Christian Children's Fund Foundation,"Children and education, Children and health, Children living with HIV/AIDS, Children without parental care",,ccfthai at ksc15.th.com
Children and families,Computers for Thai Kids,more than 400 computers to government schools all over Thailand,http://jeep.htmlplanet.com/,glenp at loxinfo.co.th
Children and families,Dev.& Edu.Program for Daughters,DEPDC : addressing the child sex trade and child labor issues in northern Thailand,http://www.depdc.org/,info at depdc.org
