address,cause_area,description,name,website
"21st Floor NAC Tower, 32nd Street, Bonifacio Global City, Taguig","Charitable,Social Development","Company Description:
Aboitiz Foundation was organized as a non-stock, non-profit corporation in 1988. As the �social development arm� of the Aboitiz Group (of companies), its essence is described as reaching out �to our communities and to become a catalyst to improve people�s lives�. It has four (4) main programs: education (construction/reconstruction/refurbishment of public school buildings, provision of facilities and scholarships), enterprise development, primary health & child care, and environment. It is also active in the provision of relief goods/services to victims of calamities in different parts of the country.
It is both an operating and grant-making organization with projects in Luzon, Visayas and Mindanao. In addition to implementing its own programs and services, the Foundation provides technical assistance to CSR programs and projects directly implemented by �Business Units� that belong to the Aboitiz Group.
The Aboitiz Foundation has 11 full-time staff headed by a COO. Its financial and human resource operations are �shared services� with the Aboitiz Group. Its main office is located at the Aboitiz Corporate Center, Gov. Manual A. Cuenco Ave., Cebu City. It was certified for five (5) years respectively in January 2003 and January 26, 2008.
�","Aboitiz Foundation, Inc. ",www.aboitizfoundation.org 
"ABS-CBN Foundation Bldg., Mother Ignacia St., Brgy. South Triangle, Diliman, Quezon City","Charitable,Social Welfare,Social Development","Company Description:
The ABS-CBN Lingkod Kapamilya Foundation, Inc. was registered with the SEC as a non-stock, non-profit corporation on July 5, 1989 as the Corporate Social Responsibility arm of the ABS-CBN Broadcasting Corporation. It is an operating organization. Its main office is located at Mother Ignacia Ave., cor. E. Lopez Drive, Brgy. South Triangle, Quezon City. The foundation has 160 regular staff, 232 project-based staff, 38 part-time staff, 11 members of the Board of Trustees
It was certified for three (3) years on January 21, 2002 which lapsed on January 20, 2005. On November 18, 2005, the Foundation renewed its certification and was given a 5-year certification which lapsed on November 17, 2010. The Foundation then again, renewed on October 04, 2011 and was certified for 3 years which will lapse on September 12, 2014.
Its purposes (V-M-G), among others, are �to make a significant impact in the strategic areas of child care, environment, education, disaster management by leveraging the power and reach of media and partnering with concerned sectors of society.� The Foundation�s programs/projects now focus on the following:
� Kapit Bising para sa Ilog Pasig Bayan ni Juan - � Programa Genio � Sagip Kapamilya � Bantay-Bata Bantay Kalikasan
�","ABS-CBN Lingkod Kapamilya Foundation, Inc. ",www.abs-cbnfoundation.com 
"900 San Marcelino Street, Ermita, Manila","Charitable,Educational,Social Development","Company Description:
The Adamson University was founded seventy six (76) years ago by three Greek cousins, Dr. George Lucas Adamson, Alexander Adamson, and George Althos Adamson as a school of Industrial Chemistry.� It was converted into a non-stock, non-profit organization on December 8, 1964 after it was turned over to the Vincentian Fathers at San Marcelino Street and was named Adamson Ozanam Educational Institutions.� It has since become a Catholic Institution of learning whose vision of education makes it participate in the Catholic Church's mission of establishing the Reign of God in the secular world. The school is managed by the Vincentian Brothers, it has adopted the mission and vision of St. Vincent de Paul.� Priests belonging to the Vincentian Congregation occupy majority of the seats in the University's Board of Trustees. On March 31, 2015, the University was approved by the Department of Education to offer Senior High Programs as compliance to K-12. Its main office is located at 900 San Marcelino Street, Ermita, Manila. The school has 617 regular staff, 781 project-based staff and 164 part-time staff, 11 Board of Trustees.
�����������
It was certified for 5 years on May 31, 2005 which ended on May 30, 2010. The school was unable to re-apply due to change of person in-charge with accreditations. On May 6, 2014, the school was given a three (3)-year certification which ended on November 04, 2016.
�
Its purposes, among others, are �to assist in the formation of competent, creative and socially responsible leaders through our commitment to excellence in discovery, learning and service; to be� the catalyst of social transformation by providing quality services that empower others to become agents of social change�. The institution�s programs focus on education and is operating a school.","Adamson-Ozanam Educational Institutions, Inc. ", 
"109 Scout Fernandez cor. Scout Torillo Streets, Brgy. Sacred Heart, 1103 Quezon City","Charitable,Health,Social Development","Company Description:
The Adarna Group Fdn. , Inc (AGFI) was incorporated with the SEC on February 14,2013 as non-stock, non-profit organization. It is registered, licensed and accredited by the DSWD as an Auxiliary Social Welfare and Development Agency valid for three (3) years up to March 10,2018. It is an operating organization located at 109 Scout Fernandez Cor. Scout Torillo Sts. Barangay Sacred Heart, Quezon City. AGFI has two (2) regular staff, nine (9) Volunteers and 6 Board of Trustees.
It was certified for one year on June 5, 2015 which ended on September 17, 2015.
Its purposes (V-M-G), among others, are �to promote early literacy among Filipino children, ages 0-3, in partnership with parents, LGUs and the communities�. The The Foundation has three core programs: a) Unang Aklat- a research based early pediatric literacy program which aims to have children grow up with books and a love of reading. B) Barangay Early Literacy Program (BELP)- a one-day community based program learning session which gives awareness to children and their parents about the importance of early literacy  c) Read sa RHU � an early literacy talk, music and story- telling workshop for municipal and barangay health workers. The Foundation donates Reading nook to the RHU after each session.
The Foundation initially operated in Bataan and Tarlac where they have found to have high rate of illiteracy in the areas of Samal and Anao. It expanded its operations in Pakil, Laguna and San Clemente, Tarlac.
�","Adarna Group Foundation, Inc. ",www.agfi.com.ph 
"12/F Picadilly Star Building, 4th Ave. Cor. 27th St., Bonifacio Global City, Taguig City",Charitable,"Company Description:
The AES Philippines Power Foundation, Inc. was registered with the SEC as a non-stock, non-profit corporation on January 16, 2012 by a group of incorporators who were committed to the human capital development of the host communities surrounding the Masinloc Power Plant in Zambales and in nearby provinces. It is a corporate foundation whose mother company is AES Power Philippines, part of AES Corporation, a global power company. AES Philippines is operating the Masinloc Power Plant. AES Philippines Power Foundation is an operating/grantmaking foundation to take on the CSR activities of AES Corp. Its main office is located at 18/F Bench Tower, 30th St. cor. Rizal Dr., Crescent Park West 5, Bonifacio Global City, Taguig City. The foundation has 3 regular staff and one seconded full time staff from AES Power Philippines. There are 6 members of the Board of Trustees, one of which is an independent trustee.
AES Philippines Power Foundation aims to promote development in its host communities through knowledge sharing and social development programs. It envisions to be a trusted partner of its host communities in effecting positive change and improving people�s lives.
Specifically, the foundation�s programs now focus on the following: 1) Economic Development; 2) Education 3) Health; 4) Livelihood; 5) Environmental Stewardship and Disaster Response.
The AES Power Foundation aims to affect the communities in the Luzon power grid, specifically all municipalities in Masinloc and Candelaria in Zambales and some communities in Tarlac, Pampanga, Nueva Ecija, Aurora, Camarines Sur, Pangasinan and La Union.
It was certified for one (1) year on September 11, 2012 and which ended on July 25, 2013. For its Renewal, it was certified for another one (1) year on November 26, 2013 and which will end on November 4, 2014.
�
�","AES Philippines Power Foundation, Inc. ",http://aes.ph/foundation/ 
"2/F Eugenio Lopez Foundation Bldg., 123 Paseo de Roxas, 1260 Makati City","Charitable,Research","Company Description:
�
The �AIM Scientific Research Foundation, Inc.� (AIMSRFI) was established and registered with the SEC in November 21, 1968 by the Asian Institute of Management (AIM) as a non-stock non-profit organization to support the development initiatives of AIM. ��Its purposes are:� 1) promote, encourage, and sponsor/initiate scientific research and development projects which focus on the �nexus� of management and development issues in Asia, and; 2) establish scholarships or professorial chairs to promote management and development in Asia.� Its main office is located at the Eugenio Lopez Building, Joseph R. McMicking Campus, 123 Paseo de Roxas, Makati City. The Foundation has 19 regular staff, 11 project-based staff and 10� members of the Board of Trustees.
�
It has seven (7) Centers that received endowment funds from Philanthropists and corporations.� It conducts different studies affecting governance, leadership, tourism and the economy of the Philippines and Asia.� Each center correspondingly focuses on: competitiveness of the Philippines; banking and finance; corporate social responsibility; corporate governance; bridging leadership; Asian business transformation and tourism.� While these centers are directly under the Board of Trustees, each center has a Board of Advisors that help in the identification and conceptualization of projects.� Program plans of each center are reviewed by the Dean of the graduate school to ensure that these are relevant to the academic needs of AIM.
�
Among its secondary purposes are: to build and� improve buildings and facilities acquire properties, receive contributions, gifts, endowments, donations of all kinds, raise funds and invest its funds and properties in pursuit of the Foundation�s purposes and mission.
�
It has applied for PCNC Certification 3 times and has consistently received a 5 � year� certification in March 22, 2001;� August 22, 2006 and October 12, 2011.
�
The funds of the Foundation are largely endowments that are �prudently invested and managed based on Investment Guidelines approved by the Board.� Other sources of funds are donations/grants from individuals, corporations and grant-making institutions.
�
�","AIM Scientific Research Foundation, Inc. ",www.aim.edu 
"101 Dangay Street, Veterans Village, Project 7, Quezon City","Religious,Charitable,Educational","Company Description:
The Alliance Graduate School, Inc. (AGS) was registered with the Securities and Exchange Commission (SEC) as a non-stock, non-profit corporation on July 25, 1988 by a group of incorporators who were interested in providing Theological Education infused with biblical values and faith-laden practices with the vision to become catalysts for national transformation. It is a religious academic institution which provides graduate and post graduate degrees both ecclesiastical and those recognized by the Commission on Higher Education. Its main office is located at #101 Dangay St. Veterans Village Project 7, Quezon City. The foundation has 12 regular staff, 10 part-time staff and 15 members of the Board of Trustees.
It was certified for 5 years on November 16, 2007and which ended on November 15, 2012. The Renewal was delayed due to transition period, streamlining and no proper turnover of the documents.
Its purposes, among others, are to �provide quality education for holistic transformation; to provide theological education that inculcates values to its students to intentionally cascade biblical values, disciplines and practices to the greater community and to develop dynamic AGS spirituality in every constituent that enrolls in the seminary�. The AGS offers Certificate Program, Master of Ministry Program, Master of Arts Program, Master of Divinity Program and Doctor of Philosophy in Applied Theology Program.
Alliance Graduate School is accredited by: (1) Association for Theological Education in Southeast Asia (Accreditation Status � Master of Arts Program; Re-accreditation Status � Master of Divinity Program (September 2014-September 2018); and (2) International Council for Higher Education-Certificate of Accreditation (Masters of Ministry (July 2014-June 2019; Doctorate of Ministry (July 2014-June 2016). ",Alliance Graduate School (formerlyAlliance Biblical Seminary) ,www.ags/edu.ph 
"1206-B, Three Salcedo Place Condominium, Tordesillas Street, ","Charitable,Social Development","Company Description:
The Alvarez Foundation-Philippines, Inc. was registered with the SEC as a non-stock, non-profit corporation on July 23, 2013 and was founded by Philanthropist Mr. Antonio Alvarez II to be able to share his blessings and give back to society. It is a grant-making organization.� Its main office is located at 1206-B, Three Salcedo Place Condominium, Tordesillas Street, Salcedo Village, Makati City. The foundation has one (1) full time volunteer staff, and five (5) members of the Board of Trustees.
�
����������� It was certified for one year on June 27, 2014 which ended on April 02, 2015.
�
Its purposes (V-M-G), among others, are �to invest resources in strategic programs in the Philippines that empower lives of the poor and the needy. The Foundation�s programs/projects now focus on the following areas:�

Education
Health
Environmental Protection

�
The organization initially operated in Malabon and has expanded its operations in Batangas, Tacloban and Samar.�","Alvarez Foundation-Philippines, Inc. ", 
"4554 Casino cor. Olivares Sts., Palanan, Makati City",Charitable,"Company Description:
The American Chamber Foundation Philippines, Inc. (ACFPI) was registered with the SEC as a non-stock, non-profit corporation on December 27, 1985 by a group of 11 incorporators who were interested in �showcasing how American businesses in the Philippines are practicing good corporate citizenship & doing philanthropic work for communities. It is an implementing organization, considered as the socio-civic arm of the American Chamber of Commerce in the Philippines. Its main office is located at 4554 Casino St. corner Olivares St., Palanan, Makati City. The foundation has a regular staff of seven (7) and nine (13) members of the Board of Trustees. It was certified for five (5) years on May 14, 2002 which ended on May 13, 2007. It was renewed on December 6, 2007 which ended on December 5, 2012. Its purposes, based on the latest amendments to Articles of Incorporation, among others, are to directly finance & assist & development work, granting scholarships for formal, vocational, & alternative education, as well as to coordinate implementation of projects of member companies of the American Chamber of Commerce. The Foundation�s programs focus on the following areas: full & partial educational scholarship to children & youth, disaster relief, psycho-social activities for beneficiaries. It also conducts CSR Forum and other events for its member companies.�","American Chamber Foundation Philippines, Inc. ",www.amchamfoundation.com 
"Cagayan Valley Road, Barangay Makapilapil, San Ildefonso, Bulacan","Charitable,Social Development","Company Description:
AMG Skilled Hands Training Center, Inc. (AMG SHTCI) was organized by concerned �Christian� Leaders who wants to help the underprivileged youth gain better opportunities. It started its humble beginning in a dilapidated warehouse in Commonwealth Avenue, with one (1) trainer and five (5) male students where they held classes under a tree. In 1997, a training center was built in one-hectare land in Barangay Makapilapil, San Ildefonso, Bulacan through the generous support of Woord en Daad, AMG Phillipines� partner in the Netherlands. It then offered four courses registered with TESDA, namely: Automotive Technology, Computer Technology, Electronic Technology and Information Technology. In June 23, 2009, AMG Skilled Hands Training Center, Inc. changed its name to AMG Skilled Hands Technological College, Inc. (ASHTEC) with SO CN200262161. At present, the school offers 2-year courses in Information and Communication Technology (ICT), Electronics and Communication Technology (ECT), Welding Technology (WT) and a Diploma Course in Entrepreneurship (DCE).
ASHTEC is a TESDA Registered school. Its main office is located at Cagayan Valley Road, Barangay Makapilapil, San Ildefonso, Bulacan. The school has 43 regular staff, 12 project-based staff, and 5 members of the Board of Trustees.
Its main goal is to help underprivileged youth gain better opportunities in life through relevant and excellent skills training. The school prepares its students by equipping them with suitable knowledge through innovative teaching and proper attitude to compete in the growing job market. Through its supportive and modern method of teachings, the students are able to learn and use these essential skills and life learning to build a brighter future � for themselves and their families. ASHTEC aims not only to help the poor but also build a strong relationship with God among its constituents.
�","AMG Skilled Hands Technological College, Inc. ",www.ashtec.ph 
