cause_area,city,country,description,name,website
"Children,Hunger/Poverty,Overseas Aid,",Phnom Penh,Cambodia,"Our Home, a Khmer-run NGO, was initiated in Phnom Penh City in 1999 with the objective of assisting vulnerable children and those who had been victims of poverty, abuse, delinquency, violence and neglect.",Our Home Organization,http://www.ourhomecambodia.org
"Medical,",Phnom Penh,Cambodia,"Korsang is a small grass roots program located in Phnom Penh, Cambodia.  It is a fairly new program, beginning in September 2004, which has recently increased its small staff of 5 employees to 22 employees. Korsang staff are trained risk reductionists who are working with the Cambodian population in the prevention of IDU related HIV and other drug related harm.  The main component of the Korsang team is to engage in intensive, risk reduction based IDU and drug user outreach and education through peer related connection.  Korsang opened a drop in center in Tonle Bassac Phnom Penh in December 2004.",Korsang,http://www.korsangkhmer.org
"Religious,",Toul Kork,Cambodia,"EFC Children's Commissin is one of the commissions established in December 2002 under the Evangelical Fellowship of Cambodia (EFC). EFC works through groups of churches and organizations and denominations, many of whom have children's ministries.",Evangelical Fellowship Of Cambodia Efc,http://www.efc.org.kh
"Children,Educational,",Phnom Penh,Cambodia,"Seametrey is a registered charity É??Association ?ˇ but non lucratifÉ?? (n?¯ 3/05861, Sous Pr??fecture de St Germain en Laye, France). Its local branch was registered with the Ministry of Interior, Cambodia on 13th February 1998. Memorandum of Understanding with the Ministry of foreign Affairs signed 25th October 2002. Memorandum with the Ministry of Education signed 3rd October 2003.",Seametrey Of Cambodia,http://www.seametreycambodia.org
"Children,Educational,Environment,Medical,",Sihanoukville,Cambodia,We are a non profit school providing free education to children that cannot afford to go to school .,Planet Biodiesel Outreach Cambodia,http://www.planetbiodiesel.org
"Children,Community Service,Hunger/Poverty,Overseas Aid,",Sihanoukville,Cambodia,"The Starfish Project was founded in 2000 as a community-based humanitarian organisation. Starfish focuses its activities on facilitating access for Cambodian people in Sihanoukville and neighbouring provinces to existing social services and resources, and providing direct person-to-person assistance when such assistance is not available through governmental or other non-governmental channels.","Starfish Project. Sihanoukville, Cambodia",http://www.starfishcambodia.org
"Children,Community Service,Educational,Overseas Aid,",Siem Reap,Cambodia,"The Sustainable Organization for Community Peasant Labourer Student Development and Orphans (SOCPLSDO) is a non-profit (NPO), non-governmental organization (NGO) and non-political organization that was established in 2006 by Mr Pong Sena.",S.o.c.p.l.s.d.o,http://www.cambodianorphanage.org.uk
"Children,Community Service,Educational,Environment,Hunger/Poverty,",Siem Reap,Cambodia,Grace House Community Centre is situated in Kor Kranh village 4 kms outside siem reap. The centre serves 3 villages where 30% of the population live in extreme poverty.,Grace House Community Centre,http://www.gracehousecambodia.org
"Children,Hunger/Poverty,",Siem Reap,Cambodia,"Life and Hope Association is a Cambodian non-profit, non-governmental, non-political organization. Monks of Wat Damnk and friends established it in 2005. With our vision to envisage Cambodia a peaceful and bonding society by equiping with equal rights and opportunity built on a basis of loving-kindness and compassion.",Life And Hope Association,http://www.lifeforhope.org
"Children,Hunger/Poverty,Medical,Overseas Aid,",Siem Reap,Cambodia,"We are MaD É?? a Cambodian Charity/NGO working to make a difference for good in Siem Reap, Cambodia. MaD is registered as a 501(c)(3) charity in the USA, as an NGO in Cambodia, and we are registering as a charity in the UK. MaD is a 100% non profit organization set up to help the Cambodian peopleAfter two years of volunteer work in remote regions of Australia, We (MaD's founders) returned to Europe and tried to settle back into the Western rat-race. However, after enjoying the best two years of our lives as volunteers, we realized that the decadence and excess that typifies life in the West was not for us. So in November 2007 we packed their bags, booked a one way ticket to Siem Reap, and made a long term commitment to use our skills and funds to help the people of Cambodia. And now, we are asking you to join us. Working in partnership with rural Cambodian communities, our aim is to empower individuals, families and villages with the knowledge and resources they need to build themselves a sustainable future free from poverty. Through our Rural Community Development and ChildrenÉ??s Welfare Programs, we offer Cambodian communities assistance in areas such as water, sanitation, housing, construction, sustainable agriculture, healthcare, childcare, and education.",Mad Cambodia,http://www.madcambodia.org
