address,city,contact_number,country,description,email,name,website
"Komplek Golden Plaza Blok J-36
Jl. Fatmawati Raya No. 15
Jakarta",Jakarta,021-75915814,Indonesia,"['Komplek Golden Plaza Blok J-36\nJl. Fatmawati Raya No. 15', 'Jakarta 12420 Ph. 021-75915814 Fax. 021-75914358', 'Email: clo@id.missions-acf.org', 'Web: www.actionagainsthunger.org/countries/asia/in']",clo@id.missions-acf.org,Action Against Hunger,www.actionagainsthunger.org/countries/asia/in
"Komplek Perpustakaan Nasional
Jl. Medan Merdeka Selatan No. 11
Jakarta",Jakarta,021- 3521910,Indonesia,"['Komplek Perpustakaan Nasional\nJl. Medan Merdeka Selatan No. 11', 'Jakarta 10110 Ph. 021- 3521910 Fax. 021- 3442319', 'Email: info@aipi.or.id', 'Web: www.aipi.or.id']",info@aipi.or.id,Akademi Ilmu Pengetahuan Indonesia(AIPI),www.aipi.or.id
"Menara 165, lantai 11,
Jl. TB. Simatupang Kav. 1, Cilandak Timur
Jakarta",Jakarta,021-29406565,Indonesia,"['Menara 165, lantai 11,\nJl. TB. Simatupang Kav. 1, Cilandak Timur', 'Jakarta 12560 Ph. 021-29406565 Fax. 021-29406564', 'Web: www.act.id']",,Aksi Cepat Tanggap(ACT),www.act.id
"Jl. Temanggung Tilung V Nomor 25
Palangkaraya",Palangkaraya,0852 48 02 8480,Indonesia,"['Jl. Temanggung Tilung V Nomor 25', 'Palangkaraya Ph. 0852 48 02 8480 Fax. ampuh_kalteng@yahoo.com', 'Email: www.ampuh-kalteng.or.id']",www.ampuh-kalteng.or.id,Asosiasi Masyarakat Peduli Hukum(Ampuh),
"Jl. Letjen. Suprapto No.33
Semarang",Semarang,024-3563173,Indonesia,"['Jl. Letjen. Suprapto No.33', 'Semarang Ph. 024-3563173 ']",,Bumi Samudra Sejahtera(BSS),
"Fakultas Rumpun Ilmu Kesehatan Gedung C, Lantai 4 Universitas Indonesia Depok, Jawa Barat Indonesia, 16424

cimsa.indonesia@gmail.com
Depok",Depok,0811-143090,Indonesia,"['Fakultas Rumpun Ilmu Kesehatan Gedung C, Lantai 4 Universitas Indonesia Depok, Jawa Barat Indonesia, 16424\n\ncimsa.indonesia@gmail.com', 'Depok 16424 Ph. 0811-143090 ', 'Email: cimsa.indonesia@gmail.com', 'Web: www.cimsa.or.id']",cimsa.indonesia@gmail.com,Center for Indonesian Medical Student Activities(CIMSA),www.cimsa.or.id
"CONSERVATION for SUMATERA (CFORS)
Jl. Ratu Agung I No. 03 RT IX 
Kel. Penurunan Kec. Ratu Agung
Bengkulu",Bengkulu,0736-26562,Indonesia,"['CONSERVATION for SUMATERA (CFORS)\nJl. Ratu Agung I No. 03 RT IX \nKel. Penurunan Kec. Ratu Agung', 'Bengkulu 38223 Ph. 0736-26562 ', 'Email: cforsumatera@gmail.com', 'Web: www.cfors.or.id']",cforsumatera@gmail.com,Conservation for Sumatera(CFORS),www.cfors.or.id
"Perumahan Griya Mahkota F8
Jalan Godean KM 4 Kwarasan
Sleman",Sleman,0274-545147,Indonesia,"['Perumahan Griya Mahkota F8\nJalan Godean KM 4 Kwarasan', 'Sleman 55292 Ph. 0274-545147 ']",,Desa Lestari(Desa Lestari),
"Komplek Untan Jl. Karangan No.27
Pontianak",Pontianak,081345359940,Indonesia,"['Komplek Untan Jl. Karangan No.27', 'Pontianak Ph. 081345359940 ']",,Fakta Kalimantan Barat(Fakta Kalbar),
"Jl. Suyudono, Gg Bulustalan 4 no. 628B RT 03/02 Kel. Bulustalan Kec. Semarang Selatan
Semarang",Semarang,081228173448,Indonesia,"['Jl. Suyudono, Gg Bulustalan 4 no. 628B RT 03/02 Kel. Bulustalan Kec. Semarang Selatan', 'Semarang 50246 Ph. 081228173448; 08156675010 ', 'Email: mayadina@yahoo.com', 'Web: www.fitrajateng.com']",mayadina@yahoo.com,Forum Indonesia untuk Transparansi Anggaran Jawa Tengah(Fitra Jateng),www.fitrajateng.com
