name,description,website,cause_area,country,city,email
EFCC,"Providing education, support and nutrition to disadvantaged children who`s parents have to work in the local dump to earn a living. Our main project is to provide a good standard of education and the prospect of a better future to these children that they otherwise would not have had.",http://www.site-ffcc.org,Education,Cambodia,Phnom Penh,info@efcc.ngo
Tuk Tuk for Children,"Deliver children in rural areas quality education, sanitation, nutrition, and entertainment and to give children back their childhood. A large percentage of children work from a young age and miss out on quality formal and informal education. Supporting 6 Kindergartens in the morning and Tuk Tuk Theatre in the afternoons.",https://tuktuk4children.org,Education,Cambodia,Pursat,adrian@tuktuk4children.org
Aziza's Place,"A grassroots education and learning center transforming the lives of Cambodia's most underprivileged children. These young people come from the Steung Meanchey municipal dumpsite, slums and vulnerable families.",http://www.azizasplace.org,"Education, Community",Cambodia,Phnom Penh,info@azizasplace.org
World of Hope School Inc,"Grassrooting charity dedicated to providing education and assistance to Phom Thmey Village and Porboh Village in the Svay dang kum commune Siem Reap, Cambodia. Educate students and adults daily, teaching
English, basic math, computer skills, hygiene, sport, music,
moral and gender equality.",http://www.worldofhopeschool.org,Education,Cambodia,Siem Reap,Info@worldofhopeschool.org
NHCC,"Children with HIV/AIDS have the potential to live rich and full lives. They deserve family style care, necessary medicine, and a quality education, like other children their age. They work in partnership with the Royal Government of Cambodia, other NGO’s, and donors to provide care for our 300+ children.",http://newhopeforcambodianchildren.org/,"Education, Medical Care ",Cambodia,Phnom Penh,nhcc-2006@hotmail.com
Volunteer in Cambodia,VIC provides an opportunity for foreign volunteers to learn and experience life in Cambodia for 3 months which includes teaching English a 10-weeks course at Conversations With Foreigner (CWF) English school. CWF is an English school that was founded at the same time as VIC in 2006 and offers meaningful English courses to local students and able to generate sustainable income.,http://www.volunteerincambodia.org/,Education ,Cambodia,Phnom Penh,info@volunteerincambodia.org
Learn4Life,"Learn4Life is dedicated to providing high quality English language training to help prepare Cambodians in the Siem Reap area for advancement and new career opportunities in the years ahead. run by dedicated native English speaking volunteer teachers, for up to 400 students.",http://learn4lifecambodia.org/,Education,Cambodia,Siem Reap,admin@learn4lifecambodia.com
Grace House Community ,"Offering access to health care sanitation, clean water, dry homes, safe electricity and micro loans. Educating the children in English Language and ensuring they receive a state education. Encourage inclusion of children with disabilities in Siem Reap Province by enabling them to receive specialist education and a safe, caring environment for respite or long-term care.",http://www.gracehousecambodia.org/,Community ,Cambodia,Siem Reap,volunteer@gracehousecambodia.org
CESHE Volunteer Cambodia ,"A grassroots charity (Registered NGO number 868) that provides a free education to over 750 students in the beautiful, but impoverished Cambodian countryside. We have 3 schools in two provinces that cater to students aged between 4 & 16 years old. Currently focus is on CESHEO no. 3 Chansor School which is located 35km from Siem Reap in a rural village.",http://www.ceshe.org/,Education ,Cambodia,Siem Reap,cesheofounder@gmail.com
SHE Rescue Home,"All girls, regardless of their age, are given the gift of education. Our goal is that every girl would reach a minimum of a Year 6 level, where they can read and write Khmer competently. They offering vocational training programs to give them a great training in the fields of hair and beauty, hospitality, tailoring, and cake baking and decorating. Including therapeutic and medical Services.",https://www.sherescuehome.org/,"Community, Education",Cambodia,Phnom Penh,susie@itsnotok.com
ABCs and Rice,"ABCs and Rice differs to most NGO schools in Siem Reap. In addition to providing a much-needed free education in English and Khmer, they offer various food programs to nourish the children’s bodies as well as their minds.",http://abcsandrice.webs.com/,Education ,Cambodia,Siem Reap,abcandrice@gmail.com
ACODO,Today ACODO operates an orphanage in Siem Reap.,http://www.acodo.org/,"Education, Community ",Cambodia,Siem Reap,info@acodo.org
Savong's School ,"Savong School or Savong Orphan Centremission supports and empower underprivileged youth in northern Cambodia through education, shelter and healthcare.",http://www.savong.com/,"Education, Community ",Cambodia,Siem Reap,phil@savongfoundation.org
COFCO,COFCO,https://orphanagecofco.wordpress.com/,Education ,Cambodia,Siem Reap,cofcoangkorsiemreap@yahoo.com
