name,cause_area,country,city
Action Relief,Women`s Status & Issues, Indonesia,Sigli
Agency for Basic Community Development,Women`s Status & Issues, Myanmar,Sanchaung Township
"Angelo King Foundation, Inc. ",Women`s Status & Issues, Philippines,Makati City
"Antipolo Seminary Foundation, Inc. ",Women`s Status & Issues, Philippines,Paraaque City
Asia Society for Social Improvement and Sustainable Transformation,Women`s Status & Issues, Philippines,Makati City
Association for Children's Community & Development,Women`s Status & Issues, Philippines,"Cebu City,  Philippines"
Ateneo Human Rights Center,Women`s Status & Issues, Philippines,Makati
Cambodia Development Organization for Children (CAMDOC),Women`s Status & Issues, Cambodia,Siem Reap
Cambodian Human Rights and Development Association (ADHOC),Women`s Status & Issues, Cambodia,Beng Raing Daun Penh P.P
"CARE, Inc. (Christian Action for Relief & Empowerment)",Women`s Status & Issues, Philippines,Las Pinas City
"Centre for Advancement of Business, Innovation and Social Entrepreneurship (CASE)",Women`s Status & Issues, Malaysia, Petaling Jaya
Cornerstone Reaching Out to Souls for the Saviour (CROSS),Women`s Status & Issues, Philippines,"Project 3,  Quezon City"
Democratic Socialist Women of the Philippines (DSWP-Philippines),Women`s Status & Issues, Philippines,Quezon City
ECOLINK Philippines,Women`s Status & Issues, Philippines,Oroquieta City
Educational Welfare and Research Foundation,Women`s Status & Issues, Malaysia,Kuala Lumpur
"Family Care & Preservation, Inc. (FAMICARE, Inc.)",Women`s Status & Issues, Philippines,Makati
Fleur-de-Lis Centre for PEACE Inc.,Women`s Status & Issues, Philippines,Bacolod City
Global CEO Alliance Foundation Inc.,Women`s Status & Issues, Philippines,Makati
Goodwill Group Foundation,Women`s Status & Issues, Thailand,Bangkok
"Green Valley College Foundation,Inc.",Women`s Status & Issues, Philippines,Koronadal
He Cares Foundation,Women`s Status & Issues, Philippines,Quezon City
Help Organization International,Women`s Status & Issues, Malaysia,Lahore
Institution for Development of Rural and Indigenous People (IDRAP),Women`s Status & Issues, Indonesia,Kendari
"Kaabag sa Sugbo Foundation, Inc.",Women`s Status & Issues, Philippines,Cebu
Kababaihan Gabay ng Bayan  (KAGABAY),Women`s Status & Issues, Philippines,Makati City
Komite Monitoring Perdamaian dan Demokrasi/Committee for Peace and Democracy Monitoring,Women`s Status & Issues, Indonesia,"Syiah Kuala,  Banda Aceh"
