"name","description","website","contact_person","country","file","problems","solutions","address","contact_number","UEN.No","Charity.Status","Date.of.Charity.Registration","IPC.Status","IPC.Period","Details.URL","cause_area","email","city","Contact_number"
"INDIVIDUAL EAST TIMOR","Aniceto Guterres Lopes is educating the citizens of East Timor to better understand their legal rights; and to begin using these rights as vehicles for legal and political change. He is helping East Timor professionalize the practice of law to help it develop an enduring capacity for resistance to Human Right abuse.",,"Aniceto Guterre...","Timor-Leste","Changemakers_EastTimor.csv",,,,,,,,,,,,,,
"CRS","Florentino Sarmento; by building a large number of self-managing economic development groups in previously war-torn East Timor; is allowing his society to reestablish local self-reliance; thereby gaining self-respect. Ultimately both are prerequisites to the restoration of trust and harmony; and to economic and social progress.",,"Florentino Sarmento","Timor-Leste","Changemakers_EastTimor.csv",,,,,,,,,,,,,,
"Komunitas Hong","As the popularity of digital games increases with children and education programs do not take play into account, children are missing out on opportunities to develop essential social skills. Zaini Alif identifies and reintroduces traditional toys and games as a way to ensure that the next generations build these skills.","https://www.changemakers.com/ashoka-fellows/entries/komunitas-hong","Zaini Alif","Indonesia","changemakers_indonesia.csv","Indonesia has already made a lot of investments into education, which led to significantly improved access to newly constructed primary schools. But, according to the 2010 national census, some 3.5 million children—mostly girls, the poor, and other disadvantaged children—remain out of school. Of those who do complete primary school, a large proportion fails to acquire the necessary level of skills. In the sub-urban poor village of Ciburial, Bandung, where Zaini has established the first Centre, for example, many primary school graduates or dropouts engage in illegal activities such as extracting payment from car or motorcycle parking attendants or torchlight rental from visitors in the nearby national park.


The urban poor focus more on meeting daily family needs than on ensuring the children go to school. In former times, children became creative, innovative, socially minded, and culturally rooted adults who were close to their environment through play. Now unfortunately, parents prefer children to be at home and do not allow them to play their traditional games outside or ensure the community provides playgrounds in the neighborhood. At home, children would rather spend most of their time watching television or, for those who can afford them, playing digital games. Many have blamed electronic games for stimulating children and young people to become violent and anti-social. Nonetheless, parents allow them to play these games rather than playing outside with other children. 


The education system does not encourage children to play and has not yet focused on raising learning outcomes, especially through play. In the past children learned a lot about science and nature through play. Even though neuroscience research asserts that children gain powerful knowledge, skills, values and attitudes through play, teachers are not using this untapped resource.","Zaini creatively engages communities to educate and socialize the next generation of leaders through traditional toys and games. He identifies and spreads traditional games as a way to increase children's empathy, creativity and connection to the environment. Zaini brings together children, parents, local community leaders, and young adults to ensure that children have access to play and get to know children from other villages, hires young people at the margins of society to become instructors, and involves the wider community in traditional forms of play. 


Zaini applies a three-pronged approach: highlighting the universal values of traditional games, enabling kids to play in the community center, and teaching the community to produce the games. His approach therefore values Indonesian traditional heritage while taking into account the need for economic sustainability in the community. In order to create wider impact, he works on influencing schools to incorporate traditional games into the school curriculum. As the outcome of his research, he has written books about traditional toys and games and, following his advocacy to local government, the books have been reproduced and distributed to public schools. The Provincial Education and Culture Office of West Java has recently launched the integration of traditional games as an introductory session for high school students, as it is already applied in primary schools. 


His Teacher Play Movement, where he transfers the values and the skills of playing traditional games to other teachers, has also been set up. He expects the teachers to develop their Hong (Cooperative) Community in their own area, which will add to the existing 6 communities already established in Java, Bali, and Sumatra. 


His work has also been introduced and presented to teachers in other countries. As further development and to back up the movement with data and information, Zaini is developing the Indonesian Toys Museum in partnership with the Bandung Institute of Technology.","Jl. Bukit Pakar Utara No.26, Ciburial, Cimenyan, Bandung, Jawa Barat 40198, Indonesia","+62 22 2515773",,,,,,,,,,
"Sekolah Master","Thousands of street children are emerging in the rampant growth of cities in Indonesia. Nurokhim, once a street child himself, is meeting the needs of marginalized children for basic food, parenting, education, healthcare and economic opportunities and through that, building a road to full citizenship.","https://www.changemakers.com/ashoka-fellows/entries/sekolah-master","Nurokhim Nurokhim","Indonesia","changemakers_indonesia.csv","An estimated 230,000 street children are spread across growing cities in Indonesia. Some may be living on the streets with their families or come from crowded homes in slums. Many parents of street children cannot afford to send their children to school. The situation worsened during Indonesia's economic crisis in 1998. To support the family, or for their own survival, many poor and marginalized children are forced to go out on the streets to work.


Street children are often victims of marginalized families who are not able to manage their households. Although the government has ratified the UN Convention on the Rights of the Child (CRC) and is committed to achieving the Education For All, street children are often excluded from basic government education programs, as they lack birth certificates and identity cards, and as such are not able to enroll in any formal schools. Furthermore, this conventional schooling system is not tailored to fit with street children's needs and conditions. 


Society has traditionally seen street children as a public nuisance. In the name of enforcing the Public Order Law, street children are detained by the Civil Service Police Unit. Their means of making a living – guitars for busking, goods for sale, for example – are confiscated. They are also subjected to verbal and physical abuse by other marginalized adults. Street children participating in what is said to be illegal behavior are sent to jail and treated as criminals by the police. In jail, their rights to education are abandoned. 


There have been many attempts to address the problem of street children. But these attempts are mostly delivery of one time donations or scholarships that are not sustainable. None have been able to address the systemic problem faced by street children and their marginalized families.","Based on his experience living in the street as a child, Rokhim has developed a holistic approach to meet street children's needs and enable them to develop into balanced adults by having a substitute family structure, access to education, life skills, and vocational training to enter the job market. By mobilizing the wider society– volunteers, alumni, students, parents, schools, lawyers and other partners - Rokhim is raising awareness about a problem that affects the entire nation and is reactivating disappearing traditional cooperative values in society. He is bringing full citizenship to street children who have been systemically discriminated against by society and is empowering dysfunctional street families with parenting, education, healthcare and micro enterprise support. 


Rokhim involves the children's families in the general welfare of street children, mixing fee-paying children with street children, and recruiting teachers with empathy for the children's experience of school. His school is open every day of the year. He is also extending his work to children in prison who are mainly underfed and negotiates with the government for remission for children who attend classes. He is measuring the effectiveness of his strategy. 


His main school, called Master School, is already a showcase for imitators. The West Java Province has adopted part of Rokhim's model as the Special Education Service for children with special needs who can now have access to life skills based education. It has also acknowledged that students from the School and related informal schools can participate in the national exams. The Master School approach has also become part of the rehabilitation program for prisons. In addition, Rokhim is advocating a national regulation to allow Isbat Marriage (marriage for couples already living together) for street children's parents. With this, street children will automatically have their birth certificates and identity cards issued, which is currently a major obstacle to getting into school. 


His successful model has moved volunteers to replicate it. There are now five independent Schools using his model in Bekasi, Bogor, Bandung, and East Jakarta. International civil society organizations such as World Education and Hope for our Children have also replicated the model. Other countries such as Thailand, Japan, and South Korea and the United Nations have visited the School to learn about it. To expand his impact, Rokhim plans to set up a Master University and Business School dedicated to street and marginalized children.","","+62 21 92612047",,,,,,,,,,
"Yayasan Masyarakat Peduli","Despite the high health, economic, and environmental costs of poor sanitation, public resources are limited for improved sanitation in Indonesia. Ellena Rachmawati mobilizes communities' own resources to establish self-reliant, healthy villages, addressing key issues such as sanitation, hygiene, and nutrition.","http://www.ympntb.org","Ellena Rachmawati","Indonesia","changemakers_indonesia.csv","Only 50% of Indonesians have access to clean water.  The natural springs for Lombok Island are in the Rinjani Mountain National Park that is threatened by deforestation and land conversion reduced water supply. The surface water flowing into the village in East Lombok is 71% contaminated by e-coli bacteria that causes diarrhea. Less than half of households use safe drinking water. 


In 2005, West Nusa Tenggara Province had an outbreak of diarrhea with over 30,000 cases, which was due to lack of clean water supply. This was made worse by the long dry season that causes respiratory infections in children. Dozens of children died every day. People still defecate in rivers or in the field, as there are no toilets or sewage system. They continue to wash hands without soap and using dirty water.


Although the national government has allocated IDR 10 trillion for a nation-wide sanitation program, East Lombok only receives IDR 170 million to cover 256 villages with 1.1 million people. Despite the limited budget on sanitation, villages keep waiting for government projects or foreign donors to solve their problems. While some villages have tried to address these with their own resources, many have failed, as they were not well organized.


Rural people do spend significant amounts on certain things such as cigarettes or family visits. For example, in Lombok, people have a very close kinship system. Whenever they hear that a family member is ill, they make all possible efforts to visit. This also implies costs for the hosting family to accommodate visitors. Ellena estimates this spending to be as high as IDR 100 million per extended family yearly.","Ellena instigates a behavioral and cultural change in rural communities by activating them to leverage their own resources for health and environmental development instead of depending on external projects. She overcomes passivity within villages by raising the important issues of health, sanitation, and clean water, and guides the villagers to make their own decisions.


Her work includes teaching the community to change its daily habits. Although this is important in itself for improved sanitation and health, it is also the first step towards wider self-reliance and an important stage in establishing a realistic bridge between the community and outside resources. She goes beyond mapping the needs and resources to engage the communities in what they themselves want to change.


In bringing to light the way in which villages can choose to spend their money – for example, to implement programs to prevent sanitation-related illnesses instead of spending those resources to visit those who have fallen ill after the fact – Ellena opens up a new option for the villages' financial resources and empowers them to proactively solve their own problems. While local community members generally take a minimal role in managing their own health when a program is directed by the government or a foreign donor, Ellena overcomes this challenge of community passivity by mobilizing communities to creatively use their own resources. Ellena is thus not only changing the perception of the value of local resources, but is also changing the habits and behaviors of community members toward sanitation, hygiene and nutrition solutions. 


In practice, prior to establishing an independent healthy village, Ellena and her team make clear to the villagers that they do not bring any funding for sanitation projects. Ellena raises awareness about the causes of sanitation-related diseases and the ecological damage that reduces water discharge. While raising the fact that the government has a very limited budget for sanitation programs while the problem continues, she makes the point that there are no poor villagers as long as they have the money to spend elsewhere. 


Once she receives an invitation from the community, she starts with clean water provision – through building water pipes from freshwater sources and community management of reservoirs – as an entry point into the whole interconnected chain of water, sanitation, health, and environmental protection. Once access to clean water is established within a village, the community is able to save money on water management as well as generate revenue by providing it to surrounding villages. This combined with the cost savings of illness-related travel and other expenses, serve as bedrock for community investment. 


Ellena has already begun to replicate her model in 47 villages and to train other organizations to bring her model in Papua and Sulawesi.","","",,,,,,,,,,
"Yayasan Peduli Skizofrenia Indonesia","Despite the plethora of challenges surrounding mental health in Indonesia, healthcare still fails to prioritize the issue.Ssocial stigma has therefore extremely harmful effects on those living with mental illness. Bagus Utomo is organizing a nation wide mental health consumer groups to break the chains of stigma and improve the healthcare and the lives of people living with schizophrenia in Indonesia.","https://www.changemakers.com/ashoka-fellows/entries/yayasan-peduli-skizofrenia-indonesia","bagus utomo","Indonesia","changemakers_indonesia.csv","The number of reported psychiatric cases in Indonesia recently experienced a sharp increase. It is estimated that more than one million Indonesians suffer from schizophrenia. Indonesian official data stated that only around 36,000 patients have received medication and the rest is untreated. Although it's not a deadly illness, 30 percent of schizophrenic patients become very depressed and suicidal. Global studies estimate that more than one million people living with schizophrenia in the ages between 15-34 commit suicide each year. 


Citizens suffering from mental health disorders face a double-edged sword. Not only do they have to contend with serious, disruptive symptoms, they still have to deal with rampant stigma and are subjected to discrimination and social exclusion. For example, due to the shame and the fear of the treatment, many families do not seek treatment, which have worsened the patients' condition. Despite the fact that it is manageable and could be cured, families otherwise perceive mental disorders as unpreventable and incurable and some even associate with black magic. There is no information available in Indonesian about schizophrenia and other mental health illness. Due to the minimum knowledge and awareness on how to treat, families physically restrain schizophrenic patients using chains, ropes, cages, or other confined spaces. Some others would even leave the patients untended and wonder around out in the street. 


Mentally disorder patients furthermore face self-stigma –stigma that comes from within, which becomes the major barriers for patient's recovery. The patients internalize mental illness stigma and experience diminished self-esteem and self-efficacy as they less likely to seek treatment. Psychiatric practice has nonetheless centered on pharmaceutical treatments, rather than counseling and therapy. In addition to not providing the patients and the families with necessary information, psychiatrists have limited skills to offer an effective treatment. With only 700 psychiatrists working in Indonesia, their practice misses to engage patients, families and the community as part of the healing process.","Moved by years of struggle for getting his brother a recovery, Bagus is developing Indonesia's first mental health consumer group called KPSI (Indonesia Community Care for Schizophrenia) since 2007. Through the group, not only that people with schizophrenia are now able to break their own self-stigma, the family could work to take care of their family members and together they get over the burden of public stigma. Through this consumer group, patients, caregivers (colleagues and family), doctors (physiologists and psychiatrist), sufferers, and survivors (sufferers who already passed the culmination stage) share experience, knowledge, and learning. The care provided by the consumer group members become part of the community based psychosocial therapy, which the current health care failed to provide.


The absence of information and awareness of schizophrenia and other mental health disorders created stigma against people with mental disorders and their families. Bagus has therefore set up an online information centre, which has been evolving from web based, online to offline facebook group, to drop in centre and peer support group. He started with hundreds to 8,800 community members now connected online and offline of facebook groups spread in 10 cities. From the pilot in Jakarta, he is now setting up KPSI Jogyakarta and planning to grow the facebook groups become KSPI in different provinces in Indonesia. 


To link to the current Government health care, Bagus is developing KSPI (http://peduliskizofrenia.org/) as a Community Mental Health Centre playing as part of the referral system to the current Public Health Centre (Puskesmas) in every sub-district. Currently, KSPI provides peer support of the survivors for those who are still working on the medication as well as psychosocial therapy not only for schizophrenic but also bipolar/manic depression and other mental illness. To ensure the mental health service is widely spread, Bagus is participating in the policy advocacy work for the new Mental Health Act, by which he hopes that the upcoming National Health Insurance will provide options to the current severe side effect generic drugs.","","",,,,,,,,,,
"Yayasan Peduli Kemanusiaan","Despite the growing number of disability in Indonesia, prevention measures have not been taken into consideration. Purnawan Budisetia is working on preventing disability caused by certain congenital birth defects resulting from intermarriage. He does this by working within the traditional culture of Balinese religion.","http://www.ypkbali.org","Purnawan Budisetia","Indonesia","changemakers_indonesia.csv","A recent report estimates that globally eight million children each year are born with serious disorders caused at least partly by their genes.  That is about six percent of all births worldwide. The study links high birth-defect rates in developing countries to poor health care and nutrition.  The researchers also note higher than average rates of marriage among blood relatives.


Many disabled people are hindered by the deep-seated social and cultural norms. In some traditional communities intermarriage, which could possibly result in disabled offspring due to genetic disorder, remains in practice. In Bali, for example, although forbidden in modern Balinese religion, marriages between siblings or cousins are still desirable to keep property and assets in the family. With the current practice, DNA testing to prevent birth defects is unfortunately unpopular. 


Despite the growing population of disabilities, local culture and tradition have marginalized disabled people. For example, over generations, Balinese view people with physical disabilities as being cursed. Disabled people are therefore not allowed to pray in temples and engage in religious practices. Perceived as a family disgrace, parents sometimes ostracize their disabled children, leaving them isolated in the home and not treated the same way as other children. Almost half of poor disabled children never go to school due to the shame to their families, as well as being rejected by the public schools. Likewise, many disabled elderly are kept inside untreated. Most disabled people then resign themselves to their fate of being the invisible and unwanted people.","Purnawan is working on changing the cultural value system as part of preventive measures against disability. Since it is difficult to break through the culture of cast system especially to get the buy in of the highest caste priest of Brahmana, Purnawan has successfully engaged religious leaders (Pandita) from the lowest cast priests to bring about the idea. Together with parents of disabled children, these Pandita educate people about the high risks of intermarriage and disability. While preaching, they remind people to discontinue and avoid forbidden marriages, including intermarriage as written in the Balinese Hindu traditional customs. Purnawan also works with religious communities to break the stigma against disability, which is perceived to be a punishment for misdeeds in the past thus is not allowed to go to temples for praying. Now disabled people could practice their religion and pray in temples. Purnawan also works with schools and council young people on intermarriage as part of adolescence reproductive health education. 


Purnawan integrates rehabilitation and education for the disabled people to improve their lives as equal citizens. Having reversed the traditional belief about disability as a family disgrace, Purnawan has been able to convince parents not only to let their children go outside, access the rehabilitation therapy and get education, but also to take part in the rehabilitation therapy at home. He has linked this program with the District and Provincial Social Welfare Bureaus through their Social Service Mobile Unit. 


In the near future he plans to spread the programs to other regions in Bali and beyond, utilizing his national network of Social organization National Partner and Cerebral Palsy Children Community.","Jl. Bakung No. 19, Br. Tohpati, Kesiman Kertalangu, Denpasar Timur, Kesiman Kertalangu Denpasar Timur, Kesiman Kertalangu, Denpasar Tim., Kota Denpasar, Bali 80237, Indonesia","+62 361 462431",,,,,,,,,,
"Kopernik","Millions of people living in remote areas do not have access to electricity and clean water. On the other hand, simple, technology based solutions exist but are not reaching the people in far-flung communities. Ewa Wojkowska has created distribution systems in order for people in remote areas to have access to life-changing technology in Indonesia and other parts of the world.","http://kopernik.info/","ewa Wojkowska","Indonesia","changemakers_indonesia.csv","An estimated  81.6 million Indonesians still do not have access to electricity. About 40 percent of Indonesia's households—around 24.5 million households, located mainly in rural areas—still rely on traditional biomass energy (mainly fuel wood) as their primary cooking fuel, which emit vast quantities of polluting smoke. There are only 30 percent of city residents who have access to clean water and the number drops to only 10 percent in villages. Great technologies, which are designed for the poor to solve the above mentioned problems are numerous. They can improve people's lives, nonetheless, their dissemination and adoption are limited esepecially in remote areas. Technologies like solar lights, fuel-efficient cook stoves, agricultural and health tools, water filters are amongst technologies that could change millions of people's lives, however they are not yet reaching those in greatest needs. 





Remote communities are unreachable by road or isolated by heavy rains for months. These are places where there are no couriers, no postal system, no shipping agents and no technology stores. The more remote the community are, the more technology producers are challenged by the high cost for transportation. Due to the expensive product people unfortunately cannot afford the technologies. Furthermore, due to no access to technology information, remote communities have no demand despite they are the most in needs. 


Unfortunately there is no support mechanism provided by the government.   While some of the technologies are distributed by other organizations, they are generally sold via existing distribution channels including urban or peri-urban stores but not available outside of large capital cities. Moreover, when these products are available in the last mile market, in addition to being unaffordable, there is no mechanism to back up the consumers for its efficacy and impacts. There are some existing NGO or government programs in Indonesia that distribute technologies at no cost to certain communities, these nonetheless are very limited in scope and are not sustained over the long term.","Ewa has created a system that connects existing but currently disconnected actors to ensure that far-flung communities have access to appropriate technologies to improve their welfare. Together with Kopernik, an organization she and her husband co-founded, Ewa is creating distribution channels that engage local civil society organizations, cooperatives, savings and loans groups, local kiosks, funders or investors, and technology producers to ensure that last-mile communities have access to much needed appropriate technologies to address their basic needs. These technologies include water filters, solar lights and fuel efficient cookstoves. 





Creating a system to make the technologies accessible is important, as is making sure that the technologies are affordable. Ewa, moving away from a solely philanthropic approach is balancing business and philanthropy by using donations from corporations and individual donors to pay for the up-front cost of purchasing and shipping technology and then providing technology on a consignment basis to local partners. Then the local partners ensure that people have access to credit or installment payment schemes to further make the technologies affordable. 


Unlike other technologies that reach the market without verifying impact, Ewa has developed a feedback mechanism engaging the users and producers and technical university support, to ensure the products work as intended and the people in the last mile are well served.  The system provides the ability to find out whether anything has gone wrong - so that this can be addressed - and identify aspects of the technology that need to be improved by the technology producers. With the mechanism, Ewa ensures the technologies brings positive impact to the people, the technologies perform effectively (and if not, that the problems are addressed or the technology is no longer distributed) and the producers are able to best serve their clients.  





With the system in place, at least 25,000 life-changing technologies have been serving more than 140,000 people in 14 countries of whom 60,000 are from Indonesia spread across 10 provinces. The system has engaged at least 53 local civil society organizations, 38 technology producers, 24 funding partners and 23 in-kind partners. As it has shown positive impact, aspects of the model are being adopted by programs in big multinational corporations, the World Bank and the UN Agencies.","","",,,,,,,,,,
"Karya Sanitasi","In the belief that the government's efforts alone are not sufficient to fix Indonesia's acute sanitation problems, Sumadi, a sanitarian, is cultivating sanitation entrepreneurs to help rural Indonesia have better access to proper sanitation and reduce water pollution, while creating job opportunities at the same time.","https://www.changemakers.com/ashoka-fellows/entries/karya-sanitasi","sumadi sakinem","Indonesia","changemakers_indonesia.csv","The Problem 


From a population of 250 million, 70 million Indonesians still live without access to basic sanitation facilities. Open defecation or direct river defecation is still common practice among 19% of the urban population and 40% of the rural population. National data claims that around three quarters of households are discharging raw sewage into paddy fields, ponds, lakes, rivers, and the sea; only one quarter are connected to septic tanks or improved pits. In addition to the environmental damages, which include water pollution and a reduction in the productivity of the land, the problem has caused serious outbreaks of preventable diseases such as diarrhea and cholera, resulting in major losses to the country. 


District governments fund sanitarians, a functional position at Community Health Centers (Puskesmas). Their main responsibility is illness prevention through environmental health and hygiene initiatives in the dedicated villages within sub-district areas. One sanitarian is usually responsible for covering eleven villages or serving a population of 10,000-20,000. Not only is this number below the number of people and communities that need to be served,, but sanitarians are also not keeping pace with changes in health conditions in Indonesia and fail to make the appropriate adjustments. With a supply provision mindset, sanitarians are not able to see local potential, mobilize communities and other professionals to collaborate in order to address the problem. New Health School graduates wish to become civil servants and public service providers, which is what the school prepares the students to become, rather than skilled workers ready to tackle their communities' problems with innovative solutions.


In addition to the human resource challenges, the government has not put sanitation as a high priority on their agenda. Although aiming for communities to be 100 percent open defecation-free has already been set as one of the government's five-year goals, the government's limited support on provisions for sanitation construction has failed to stimulate the community to voluntarily build their own facilities. Even those receiving the stimulant packages have often failed to build the toilets by themselves due to lack of information and skills and the government's lack of investment in supporting healthy behaviors. Worse, by and large, international and local NGOs and donors have followed suit with these supply driven models, which undermine people's willingness to pay for the facilities. To a large extent, sanitation programs are still driven and financed as a part of donor-funded water and sanitation loan programs and national level budgets in Indonesia. Not only has the approach created dependency on the government's subsidies, it leaves the facilities unmaintained and therefore unsustainable due to a poor sense of ownership. Not surprisingly, even when these public toilets are available, many still continue to practice unhealthy behaviors.","By redefining the role of sanitarians, Sumadi has shifted the attitude and behavior of sanitarians from a passive employee mindset to one of a community entrepreneur. Together with his 38 sanitarian community entrepreneurs, who also play the role of marketers, Sumadi has been able to engage village midwives, construction workers, building material suppliers, and community members to bring about 5,000 units of household toilets serving over 25,000 poor people in the Nganjuk District, East Java, among other cities in Indonesia. 


Sumadi envisions each sanitarian as a community entrepreneur, a professional who can perform above their duties and act beyond only implementing a sanitation campaign. By using a market-based approach, Sumadi's sanitarians have reduced inefficiencies in the supply chain. Like doctor-pharmacist-drugstore partnerships, Sumadi helps sanitarians build relationships with construction workers and building material suppliers. Through the Indonesia Association of Sanitation Management and Empowerment (APPSANI), he connects the Sanitation Works Association (Asosiasi Karya Sanitasi) with construction workers, material suppliers, and the Association of Sanitation Entrepreneurs (Asosiasi Pengusaha Sanitasi) to join efforts in facilitating the emergence of sanitation demands across different villages in Indonesia. 


His model has been replicated across at least 38 districts and associations have been set up in nine cities in Java, Lombok, Sulawesi and Papua islands. His model has also inspired the village youth in South Kalimantan to become community sanitation entrepreneurs. Now Sumadi is approaching Schools of Health Polytechnic in Aceh and Surabaya to include entrepreneurship curriculum in order to build a community of future sanitarians.","","",,,,,,,,,,
"Health in Harmony","When Indonesia's natural resources have been degraded in an alarming speed, leaving the destructive environment impacting on human health, Kinari Webb,a medical doctor, is creating a system that improves healthcare, healthier environment, and better livelihood for communities living by the Indonesia's National Parks.","http://www.healthinharmony.org/","Kinari eve Webb","Indonesia","changemakers_indonesia.csv","Indonesia is the owner of the third largest area of tropical forest in the world that serves as a lung to the earth. Nonetheless, the forest is unfortunately disappearing at an alarming rate due to illegal logging done by companies and people living around it. By 2007, the forest in Indonesia has lost about 70 percent of its area. Illegal logging in Gunung Palung National Park, West Kalimantan, for example, is threatening its inhabitants including the endangered species such as hornbills, gibbons and orangutans. Mostly moved by an economic drive, the illegal logging practice has done over generations where people are not aware of the practice jeopardizing the environment and their livelihood.


The lifestyle of the people living by the forest also creates health problems in the area. People do not eat vegetables because they do not grow them. Five years ago the vegetables were imported from Java, therefore expensive. This unhealthy lifestyle led to many health problems such as malnutrition and diarrhea. In Indonesia, which has 16 physicians per 100,000 people, 12 times lower than the ratio in the United States, medical care is a scarce commodity. In rural areas, the ratio is even worse: in West Kalimantan there are three clinics where 60,000 residents share one doctor. For people living in remote areas, they have to travel quite a long distance to get high quality health service, which is not cheap. They turn to illegal logging to get some fast cash without knowing that it would destruct the forest which leads to the spread of communicable diseases caused by the destructive environment, for example respiration illnesses, tuberculosis, dengue fever and malaria. 


Many organizations apply a silo approach with a focus on either forest conservation or healthcare with less interest in addressing people's related problem. There are civil society organizations providing high quality of healthcare in rural areas, however, they focus exclusively on human health. Similarly, other organizations offer economic incentive for conservation, which exclusively focusing on environmental goals. The government service is very much sector oriented in addition to their lack of people's or client based services. There is not yet that help people address the challenges in a holistic environment while creating healthcare system also improving a healthier environment –physical and economically.","Kinari Webb is developing an intertwined approach to improving people's health and their environment. Through this new mechanism, people living by the buffer zone of the Gunung Palung National Park, could access the affordable high-quality health care as well as become forest defenders who protect the rain forests. Through her organization Health in Harmony, she has introduced the ASRI (Alam Sehat Lestari / Healthy Nature Everlasting) program, which is combining health care, conservation, environmental education and medical training in Sukadana. For the health care system she created an alternative payment mechanism where people are able to pay by non-cash methods through labor in the clinic or the rainforest. They can also help with the reforestation, pay with seedlings or organic fertilizers or paying with local crafts. The organic farming program Kinari introduced has turned farmers from loggers into guardians of the forest.


Kinari also set up an incentive mechanism both to make people healthy and to restrain people from illegal logging. The incentive is set for people living in villages with less illegal logging cases would get 70% discounted health service fee. To make the mechanism works, a forest patrol system is set where villagers are trained and recruited as forest guardians. Not only doing the monitoring, they also talk to villagers about illegal logging and its implications. This method has managed to lower illegal logging in the area as much as 68% whilst keeping the people healthy. Kinari realizes that approaching just the adults is not enough. She then engages children in learning about forest protection and recycling while introducing hygiene practices. 


Kinari is already preparing to replicate her model in Raja Ampat National Park in Papua this year. She has partnerships with top universities in the US where they send their doctors to learn about tropical diseases. These doctors share knowledge with the local doctors in the clinic, making the clinic a training centre. She is also planning to partner with local universities to spread her impact even more. Just recently, Kinari has been approached by an International Environmental Taskforce for United Nation REDD+ (Reducing Emissions from Deforestation and Forest Degradation) who partners with the government. They are interested in replicating her model to other areas of Indonesia.","","",,,,,,,,,,
